dist,batch_size,theta,theta_label,n_theory,median_n_stop,mean_n_stop,q25_n_stop,q75_n_stop,correctness,efficiency,cap_rate
lognormal,100,0.0083,δ/6,179744,900.0000,903.0000,800.0000,1000.0000,0.9500,199.7156,0.0000
lognormal,100,0.0100,δ/5,179744,800.0000,777.0000,700.0000,900.0000,0.9300,224.6800,0.0000
lognormal,100,0.0125,δ/4,179744,600.0000,624.0000,500.0000,700.0000,0.8800,299.5733,0.0000
lognormal,100,0.0167,δ/3,179744,500.0000,510.0000,400.0000,600.0000,0.8600,359.4880,0.0000
lognormal,100,0.0250,δ/2,179744,400.0000,362.0000,300.0000,400.0000,0.6200,449.3600,0.0000
lognormal,100,0.0500,δ,179744,200.0000,238.0000,200.0000,300.0000,0.4200,898.7200,0.0000
lognormal,200,0.0083,δ/6,179744,1600.0000,1496.0000,1200.0000,1600.0000,1.0000,112.3400,0.0000
lognormal,200,0.0100,δ/5,179744,1200.0000,1272.0000,1200.0000,1400.0000,1.0000,149.7867,0.0000
lognormal,200,0.0125,δ/4,179744,1000.0000,1038.0000,950.0000,1200.0000,0.9800,179.7440,0.0000
lognormal,200,0.0167,δ/3,179744,800.0000,822.0000,800.0000,1000.0000,0.9300,224.6800,0.0000
lognormal,200,0.0250,δ/2,179744,600.0000,616.0000,600.0000,600.0000,0.8600,299.5733,0.0000
lognormal,200,0.0500,δ,179744,400.0000,420.0000,400.0000,400.0000,0.7400,449.3600,0.0000
lognormal,300,0.0083,δ/6,179744,1800.0000,1962.0000,1800.0000,2100.0000,1.0000,99.8578,0.0000
lognormal,300,0.0100,δ/5,179744,1800.0000,1692.0000,1500.0000,1800.0000,1.0000,99.8578,0.0000
lognormal,300,0.0125,δ/4,179744,1500.0000,1410.0000,1200.0000,1500.0000,1.0000,119.8293,0.0000
lognormal,300,0.0167,δ/3,179744,1200.0000,1128.0000,900.0000,1200.0000,0.9600,149.7867,0.0000
lognormal,300,0.0250,δ/2,179744,900.0000,834.0000,600.0000,900.0000,0.9200,199.7156,0.0000
lognormal,300,0.0500,δ,179744,600.0000,609.0000,600.0000,600.0000,0.8800,299.5733,0.0000
lognormal,500,0.0083,δ/6,179744,2500.0000,2755.0000,2500.0000,3000.0000,1.0000,71.8976,0.0000
lognormal,500,0.0100,δ/5,179744,2500.0000,2365.0000,2000.0000,2500.0000,1.0000,71.8976,0.0000
lognormal,500,0.0125,δ/4,179744,2000.0000,1925.0000,1500.0000,2000.0000,1.0000,89.8720,0.0000
lognormal,500,0.0167,δ/3,179744,1500.0000,1620.0000,1500.0000,2000.0000,1.0000,119.8293,0.0000
lognormal,500,0.0250,δ/2,179744,1000.0000,1225.0000,1000.0000,1500.0000,0.9800,179.7440,0.0000
lognormal,500,0.0500,δ,179744,1000.0000,1000.0000,1000.0000,1000.0000,0.9800,179.7440,0.0000
lognormal,750,0.0083,δ/6,179744,3750.0000,3630.0000,3000.0000,4500.0000,1.0000,47.9317,0.0000
lognormal,750,0.0100,δ/5,179744,3000.0000,3225.0000,3000.0000,3750.0000,1.0000,59.9147,0.0000
lognormal,750,0.0125,δ/4,179744,3000.0000,2685.0000,2250.0000,3000.0000,1.0000,59.9147,0.0000
lognormal,750,0.0167,δ/3,179744,2250.0000,2182.5000,2250.0000,2250.0000,1.0000,79.8862,0.0000
lognormal,750,0.0250,δ/2,179744,1500.0000,1657.5000,1500.0000,1500.0000,1.0000,119.8293,0.0000
lognormal,750,0.0500,δ,179744,1500.0000,1500.0000,1500.0000,1500.0000,1.0000,119.8293,0.0000
lognormal,1000,0.0083,δ/6,179744,4000.0000,4530.0000,4000.0000,5000.0000,1.0000,44.9360,0.0000
lognormal,1000,0.0100,δ/5,179744,4000.0000,3870.0000,3000.0000,4000.0000,1.0000,44.9360,0.0000
lognormal,1000,0.0125,δ/4,179744,3000.0000,3360.0000,3000.0000,4000.0000,1.0000,59.9147,0.0000
lognormal,1000,0.0167,δ/3,179744,3000.0000,2680.0000,2000.0000,3000.0000,1.0000,59.9147,0.0000
lognormal,1000,0.0250,δ/2,179744,2000.0000,2120.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
lognormal,1000,0.0500,δ,179744,2000.0000,2000.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
