dist,batch_size,theta,theta_label,n_theory,median_n_stop,mean_n_stop,q25_n_stop,q75_n_stop,correctness,efficiency,cap_rate
binomial,100,0.0083,δ/6,9599,1300.0000,1311.0000,1200.0000,1425.0000,0.9300,7.3838,0.0000
binomial,100,0.0100,δ/5,9599,1200.0000,1190.0000,1000.0000,1300.0000,0.9100,7.9992,0.0000
binomial,100,0.0125,δ/4,9599,1000.0000,976.0000,875.0000,1100.0000,0.7300,9.5990,0.0000
binomial,100,0.0167,δ/3,9599,800.0000,785.0000,700.0000,900.0000,0.6000,11.9987,0.0000
binomial,100,0.0250,δ/2,9599,600.0000,560.0000,500.0000,600.0000,0.3800,15.9983,0.0000
binomial,100,0.0500,δ,9599,300.0000,347.0000,300.0000,400.0000,0.1300,31.9967,0.0000
binomial,200,0.0083,δ/6,9599,2200.0000,2078.0000,1800.0000,2250.0000,1.0000,4.3632,0.0000
binomial,200,0.0100,δ/5,9599,1800.0000,1752.0000,1600.0000,2000.0000,0.9800,5.3328,0.0000
binomial,200,0.0125,δ/4,9599,1400.0000,1456.0000,1400.0000,1600.0000,0.9300,6.8564,0.0000
binomial,200,0.0167,δ/3,9599,1200.0000,1190.0000,1000.0000,1250.0000,0.8500,7.9992,0.0000
binomial,200,0.0250,δ/2,9599,800.0000,878.0000,800.0000,1000.0000,0.7000,11.9987,0.0000
binomial,200,0.0500,δ,9599,600.0000,570.0000,600.0000,600.0000,0.3900,15.9983,0.0000
binomial,300,0.0083,δ/6,9599,2700.0000,2661.0000,2400.0000,3000.0000,1.0000,3.5552,0.0000
binomial,300,0.0100,δ/5,9599,2250.0000,2271.0000,2100.0000,2400.0000,1.0000,4.2662,0.0000
binomial,300,0.0125,δ/4,9599,1800.0000,1887.0000,1800.0000,2100.0000,1.0000,5.3328,0.0000
binomial,300,0.0167,δ/3,9599,1500.0000,1509.0000,1425.0000,1800.0000,0.9800,6.3993,0.0000
binomial,300,0.0250,δ/2,9599,1200.0000,1143.0000,900.0000,1200.0000,0.8800,7.9992,0.0000
binomial,300,0.0500,δ,9599,600.0000,741.0000,600.0000,900.0000,0.6000,15.9983,0.0000
binomial,500,0.0083,δ/6,9599,3500.0000,3560.0000,3000.0000,4000.0000,1.0000,2.7426,0.0000
binomial,500,0.0100,δ/5,9599,3000.0000,3095.0000,3000.0000,3500.0000,1.0000,3.1997,0.0000
binomial,500,0.0125,δ/4,9599,2500.0000,2660.0000,2500.0000,3000.0000,1.0000,3.8396,0.0000
binomial,500,0.0167,δ/3,9599,2000.0000,2105.0000,2000.0000,2500.0000,1.0000,4.7995,0.0000
binomial,500,0.0250,δ/2,9599,1500.0000,1625.0000,1500.0000,2000.0000,0.9600,6.3993,0.0000
binomial,500,0.0500,δ,9599,1000.0000,1075.0000,1000.0000,1000.0000,0.8200,9.5990,0.0000
binomial,750,0.0083,δ/6,9599,4500.0000,4642.5000,4500.0000,5250.0000,1.0000,2.1331,0.0000
binomial,750,0.0100,δ/5,9599,3750.0000,3997.5000,3750.0000,4500.0000,1.0000,2.5597,0.0000
binomial,750,0.0125,δ/4,9599,3000.0000,3382.5000,3000.0000,3750.0000,1.0000,3.1997,0.0000
binomial,750,0.0167,δ/3,9599,3000.0000,2835.0000,2250.0000,3000.0000,1.0000,3.1997,0.0000
binomial,750,0.0250,δ/2,9599,2250.0000,2190.0000,2250.0000,2250.0000,0.9900,4.2662,0.0000
binomial,750,0.0500,δ,9599,1500.0000,1507.5000,1500.0000,1500.0000,0.9800,6.3993,0.0000
binomial,1000,0.0083,δ/6,9599,6000.0000,5620.0000,5000.0000,6000.0000,1.0000,1.5998,0.0000
binomial,1000,0.0100,δ/5,9599,5000.0000,5010.0000,4000.0000,6000.0000,1.0000,1.9198,0.0000
