dist,batch_size,theta,theta_label,n_theory,median_n_stop,mean_n_stop,q25_n_stop,q75_n_stop,correctness,efficiency,cap_rate
lognormal,100,0.0125,δ/4,179744,600.0000,608.0000,500.0000,700.0000,0.8800,299.5733,0.0000
lognormal,100,0.0167,δ/3,179744,500.0000,512.0000,400.0000,600.0000,0.8800,359.4880,0.0000
lognormal,100,0.0250,δ/2,179744,400.0000,370.0000,300.0000,400.0000,0.6200,449.3600,0.0000
lognormal,100,0.0500,δ,179744,200.0000,236.0000,200.0000,300.0000,0.4200,898.7200,0.0000
lognormal,200,0.0125,δ/4,179744,1000.0000,1060.0000,1000.0000,1200.0000,1.0000,179.7440,0.0000
lognormal,200,0.0167,δ/3,179744,800.0000,844.0000,800.0000,1000.0000,0.9600,224.6800,0.0000
lognormal,200,0.0250,δ/2,179744,600.0000,616.0000,600.0000,800.0000,0.8800,299.5733,0.0000
lognormal,200,0.0500,δ,179744,400.0000,412.0000,400.0000,400.0000,0.7000,449.3600,0.0000
lognormal,500,0.0125,δ/4,179744,2000.0000,1940.0000,1500.0000,2000.0000,1.0000,89.8720,0.0000
lognormal,500,0.0167,δ/3,179744,1500.0000,1630.0000,1500.0000,2000.0000,1.0000,119.8293,0.0000
lognormal,500,0.0250,δ/2,179744,1250.0000,1260.0000,1000.0000,1500.0000,1.0000,143.7952,0.0000
lognormal,500,0.0500,δ,179744,1000.0000,1000.0000,1000.0000,1000.0000,1.0000,179.7440,0.0000
lognormal,1000,0.0125,δ/4,179744,3000.0000,3420.0000,3000.0000,4000.0000,1.0000,59.9147,0.0000
lognormal,1000,0.0167,δ/3,179744,3000.0000,2760.0000,2000.0000,3000.0000,1.0000,59.9147,0.0000
lognormal,1000,0.0250,δ/2,179744,2000.0000,2160.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
lognormal,1000,0.0500,δ,179744,2000.0000,2000.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
normal,100,0.0125,δ/4,179744,600.0000,614.0000,500.0000,700.0000,0.9000,299.5733,0.0000
normal,100,0.0167,δ/3,179744,500.0000,514.0000,400.0000,600.0000,0.9000,359.4880,0.0000
normal,100,0.0250,δ/2,179744,400.0000,370.0000,300.0000,400.0000,0.6400,449.3600,0.0000
normal,100,0.0500,δ,179744,200.0000,236.0000,200.0000,300.0000,0.5800,898.7200,0.0000
normal,200,0.0125,δ/4,179744,1200.0000,1100.0000,1000.0000,1200.0000,0.9800,149.7867,0.0000
normal,200,0.0167,δ/3,179744,800.0000,828.0000,800.0000,1000.0000,0.9200,224.6800,0.0000
normal,200,0.0250,δ/2,179744,600.0000,620.0000,600.0000,800.0000,0.9000,299.5733,0.0000
normal,200,0.0500,δ,179744,400.0000,412.0000,400.0000,400.0000,0.7000,449.3600,0.0000
normal,500,0.0125,δ/4,179744,2000.0000,2020.0000,2000.0000,2375.0000,1.0000,89.8720,0.0000
normal,500,0.0167,δ/3,179744,1500.0000,1620.0000,1500.0000,2000.0000,1.0000,119.8293,0.0000
normal,500,0.0250,δ/2,179744,1500.0000,1310.0000,1000.0000,1500.0000,1.0000,119.8293,0.0000
normal,500,0.0500,δ,179744,1000.0000,1000.0000,1000.0000,1000.0000,1.0000,179.7440,0.0000
normal,1000,0.0125,δ/4,179744,3000.0000,3340.0000,3000.0000,4000.0000,1.0000,59.9147,0.0000
normal,1000,0.0167,δ/3,179744,3000.0000,2680.0000,2000.0000,3000.0000,1.0000,59.9147,0.0000
normal,1000,0.0250,δ/2,179744,2000.0000,2160.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
normal,1000,0.0500,δ,179744,2000.0000,2000.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
weibull,100,0.0125,δ/4,179744,600.0000,612.0000,500.0000,700.0000,0.8400,299.5733,0.0000
weibull,100,0.0167,δ/3,179744,500.0000,490.0000,400.0000,500.0000,0.7800,359.4880,0.0000
weibull,100,0.0250,δ/2,179744,300.0000,352.0000,300.0000,400.0000,0.7400,599.1467,0.0000
weibull,100,0.0500,δ,179744,200.0000,228.0000,200.0000,300.0000,0.5400,898.7200,0.0000
weibull,200,0.0125,δ/4,179744,1100.0000,1080.0000,1000.0000,1200.0000,0.9800,163.4036,0.0000
weibull,200,0.0167,δ/3,179744,800.0000,812.0000,650.0000,950.0000,0.9400,224.6800,0.0000
weibull,200,0.0250,δ/2,179744,600.0000,592.0000,600.0000,600.0000,0.8400,299.5733,0.0000
weibull,200,0.0500,δ,179744,400.0000,404.0000,400.0000,400.0000,0.7200,449.3600,0.0000
weibull,500,0.0125,δ/4,179744,2000.0000,2040.0000,2000.0000,2500.0000,1.0000,89.8720,0.0000
weibull,500,0.0167,δ/3,179744,1500.0000,1630.0000,1500.0000,2000.0000,1.0000,119.8293,0.0000
weibull,500,0.0250,δ/2,179744,1000.0000,1230.0000,1000.0000,1500.0000,1.0000,179.7440,0.0000
weibull,500,0.0500,δ,179744,1000.0000,1000.0000,1000.0000,1000.0000,1.0000,179.7440,0.0000
weibull,1000,0.0125,δ/4,179744,3000.0000,3240.0000,3000.0000,4000.0000,1.0000,59.9147,0.0000
weibull,1000,0.0167,δ/3,179744,3000.0000,2720.0000,2000.0000,3000.0000,1.0000,59.9147,0.0000
weibull,1000,0.0250,δ/2,179744,2000.0000,2200.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
weibull,1000,0.0500,δ,179744,2000.0000,2000.0000,2000.0000,2000.0000,1.0000,89.8720,0.0000
