dist,batch_size,theta,theta_label,n_theory,median_n_stop,mean_n_stop,q25_n_stop,q75_n_stop,correctness,efficiency,cap_rate
binomial,100,0.0125,δ/4,9599,1000.0000,980.0000,825.0000,1100.0000,0.7200,9.5990,0.0000
binomial,100,0.0167,δ/3,9599,800.0000,764.0000,700.0000,800.0000,0.5800,11.9987,0.0000
binomial,100,0.0250,δ/2,9599,600.0000,562.0000,500.0000,600.0000,0.3800,15.9983,0.0000
binomial,100,0.0500,δ,9599,400.0000,352.0000,300.0000,400.0000,0.1400,23.9975,0.0000
binomial,200,0.0125,δ/4,9599,1500.0000,1456.0000,1200.0000,1600.0000,0.9000,6.3993,0.0000
binomial,200,0.0167,δ/3,9599,1200.0000,1184.0000,1000.0000,1400.0000,0.8000,7.9992,0.0000
binomial,200,0.0250,δ/2,9599,800.0000,860.0000,800.0000,1000.0000,0.6400,11.9987,0.0000
binomial,200,0.0500,δ,9599,600.0000,568.0000,600.0000,600.0000,0.4200,15.9983,0.0000
binomial,500,0.0125,δ/4,9599,3000.0000,2690.0000,2500.0000,3000.0000,1.0000,3.1997,0.0000
binomial,500,0.0167,δ/3,9599,2000.0000,2090.0000,2000.0000,2500.0000,1.0000,4.7995,0.0000
binomial,500,0.0250,δ/2,9599,1500.0000,1630.0000,1500.0000,2000.0000,0.9600,6.3993,0.0000
binomial,500,0.0500,δ,9599,1000.0000,1070.0000,1000.0000,1000.0000,0.8000,9.5990,0.0000
binomial,1000,0.0125,δ/4,9599,4000.0000,4160.0000,4000.0000,5000.0000,1.0000,2.3998,0.0000
binomial,1000,0.0167,δ/3,9599,3000.0000,3340.0000,3000.0000,4000.0000,1.0000,3.1997,0.0000
binomial,1000,0.0250,δ/2,9599,3000.0000,2600.0000,2000.0000,3000.0000,1.0000,3.1997,0.0000
binomial,1000,0.0500,δ,9599,2000.0000,2000.0000,2000.0000,2000.0000,1.0000,4.7995,0.0000
piecewise,100,0.0125,δ/4,9199,1300.0000,1264.0000,1100.0000,1400.0000,0.7600,7.0762,0.0000
piecewise,100,0.0167,δ/3,9199,1000.0000,1018.0000,1000.0000,1100.0000,0.4800,9.1990,0.0000
piecewise,100,0.0250,δ/2,9199,700.0000,692.0000,600.0000,775.0000,0.2200,13.1414,0.0000
piecewise,100,0.0500,δ,9199,400.0000,418.0000,400.0000,400.0000,0.0200,22.9975,0.0000
piecewise,200,0.0125,δ/4,9199,1800.0000,1876.0000,1650.0000,2000.0000,0.9600,5.1106,0.0000
piecewise,200,0.0167,δ/3,9199,1500.0000,1496.0000,1400.0000,1600.0000,0.9200,6.1327,0.0000
piecewise,200,0.0250,δ/2,9199,1000.0000,1072.0000,1000.0000,1200.0000,0.6000,9.1990,0.0000
piecewise,200,0.0500,δ,9199,600.0000,648.0000,600.0000,600.0000,0.1200,15.3317,0.0000
piecewise,500,0.0125,δ/4,9199,3000.0000,3190.0000,3000.0000,3500.0000,1.0000,3.0663,0.0000
piecewise,500,0.0167,δ/3,9199,2500.0000,2580.0000,2500.0000,3000.0000,0.9800,3.6796,0.0000
piecewise,500,0.0250,δ/2,9199,2000.0000,1970.0000,2000.0000,2000.0000,0.9400,4.5995,0.0000
piecewise,500,0.0500,δ,9199,1500.0000,1290.0000,1000.0000,1500.0000,0.7000,6.1327,0.0000
piecewise,1000,0.0125,δ/4,9199,5000.0000,4960.0000,5000.0000,5000.0000,1.0000,1.8398,0.0000
piecewise,1000,0.0167,δ/3,9199,4000.0000,4060.0000,4000.0000,4000.0000,1.0000,2.2997,0.0000
piecewise,1000,0.0250,δ/2,9199,3000.0000,3140.0000,3000.0000,3000.0000,1.0000,3.0663,0.0000
piecewise,1000,0.0500,δ,9199,2000.0000,2020.0000,2000.0000,2000.0000,0.9800,4.5995,0.0000
zipf,100,0.0125,δ/4,9199,1000.0000,988.0000,900.0000,1000.0000,0.8800,9.1990,0.0000
zipf,100,0.0167,δ/3,9199,800.0000,792.0000,800.0000,900.0000,0.7400,11.4987,0.0000
zipf,100,0.0250,δ/2,9199,600.0000,578.0000,500.0000,600.0000,0.4600,15.3317,0.0000
zipf,100,0.0500,δ,9199,400.0000,358.0000,300.0000,400.0000,0.1400,22.9975,0.0000
zipf,200,0.0125,δ/4,9199,1400.0000,1504.0000,1400.0000,1600.0000,0.9600,6.5707,0.0000
zipf,200,0.0167,δ/3,9199,1200.0000,1240.0000,1200.0000,1400.0000,0.9600,7.6658,0.0000
zipf,200,0.0250,δ/2,9199,800.0000,892.0000,800.0000,1000.0000,0.8200,11.4987,0.0000
zipf,200,0.0500,δ,9199,600.0000,548.0000,400.0000,600.0000,0.4000,15.3317,0.0000
zipf,500,0.0125,δ/4,9199,2750.0000,2720.0000,2500.0000,3000.0000,1.0000,3.3451,0.0000
zipf,500,0.0167,δ/3,9199,2000.0000,2160.0000,2000.0000,2500.0000,1.0000,4.5995,0.0000
zipf,500,0.0250,δ/2,9199,1500.0000,1650.0000,1500.0000,2000.0000,1.0000,6.1327,0.0000
zipf,500,0.0500,δ,9199,1000.0000,1070.0000,1000.0000,1000.0000,0.8800,9.1990,0.0000
