dist,bin_size_ms,k,n_theory,n_label,n,seed,tvd
binomial,0.1,201,81599,n/4,20399,1,0.007621630867752747
binomial,0.1,201,81599,n/4,20399,2,0.00781878394656072
binomial,0.1,201,81599,n/4,20399,3,0.009026589583658769
binomial,0.1,201,81599,n/4,20399,4,0.007359311150431542
binomial,0.1,201,81599,n/4,20399,5,0.007920134575368441
binomial,0.1,201,81599,n/4,20399,6,0.009481736833987519
binomial,0.1,201,81599,n/4,20399,7,0.013378099925588489
binomial,0.1,201,81599,n/4,20399,8,0.008224563789377035
binomial,0.1,201,81599,n/4,20399,9,0.010440619168687498
binomial,0.1,201,81599,n/4,20399,10,0.010489357120295573
binomial,0.1,201,81599,n/4,20399,11,0.00841843134585852
binomial,0.1,201,81599,n/4,20399,12,0.0088658843112229
binomial,0.1,201,81599,n/4,20399,13,0.011185685000739323
binomial,0.1,201,81599,n/4,20399,14,0.007680629782772884
binomial,0.1,201,81599,n/4,20399,15,0.012071198929500836
binomial,0.1,201,81599,n/4,20399,16,0.008871228982785164
binomial,0.1,201,81599,n/4,20399,17,0.008347700586435532
binomial,0.1,201,81599,n/4,20399,18,0.0063525081656774125
binomial,0.1,201,81599,n/4,20399,19,0.0094251714037227
binomial,0.1,201,81599,n/4,20399,20,0.008292488318061505
binomial,0.1,201,81599,n/4,20399,21,0.00944466691162326
binomial,0.1,201,81599,n/4,20399,22,0.008411837626955066
binomial,0.1,201,81599,n/4,20399,23,0.007582647098361831
binomial,0.1,201,81599,n/4,20399,24,0.006678545332999854
binomial,0.1,201,81599,n/4,20399,25,0.006507798546499847
binomial,0.1,201,81599,n/4,20399,26,0.008419166505847946
binomial,0.1,201,81599,n/4,20399,27,0.005372934478411029
binomial,0.1,201,81599,n/4,20399,28,0.008156460204237406
binomial,0.1,201,81599,n/4,20399,29,0.01371158453242265
binomial,0.1,201,81599,n/4,20399,30,0.0063145820916508475
binomial,0.1,201,81599,n/4,20399,31,0.008611345134521721
binomial,0.1,201,81599,n/4,20399,32,0.009098676824296166
binomial,0.1,201,81599,n/4,20399,33,0.006786722033343774
binomial,0.1,201,81599,n/4,20399,34,0.011327737172133083
binomial,0.1,201,81599,n/4,20399,35,0.009235109054047098
binomial,0.1,201,81599,n/4,20399,36,0.005303879603257622
binomial,0.1,201,81599,n/4,20399,37,0.007357847515850358
binomial,0.1,201,81599,n/4,20399,38,0.007349729526276125
binomial,0.1,201,81599,n/4,20399,39,0.008292222070930087
binomial,0.1,201,81599,n/4,20399,40,0.012042029090147094
binomial,0.1,201,81599,n/4,20399,41,0.00628929735661787
binomial,0.1,201,81599,n/4,20399,42,0.011252714667906113
binomial,0.1,201,81599,n/4,20399,43,0.007550044751434953
binomial,0.1,201,81599,n/4,20399,44,0.009559784317035452
binomial,0.1,201,81599,n/4,20399,45,0.012879283470618534
binomial,0.1,201,81599,n/4,20399,46,0.0076706310459034015
binomial,0.1,201,81599,n/4,20399,47,0.011823328507110771
binomial,0.1,201,81599,n/4,20399,48,0.007246707968807868
binomial,0.1,201,81599,n/4,20399,49,0.008231868404483915
binomial,0.1,201,81599,n/4,20399,50,0.009316522658201407
binomial,0.1,201,81599,n/2,40799,1,0.006046634032570427
binomial,0.1,201,81599,n/2,40799,2,0.006336613809855814
binomial,0.1,201,81599,n/2,40799,3,0.00786343337057888
binomial,0.1,201,81599,n/2,40799,4,0.004311105889950771
binomial,0.1,201,81599,n/2,40799,5,0.004053721583010312
binomial,0.1,201,81599,n/2,40799,6,0.004827641275554949
binomial,0.1,201,81599,n/2,40799,7,0.00981688194992043
binomial,0.1,201,81599,n/2,40799,8,0.006080603552214188
binomial,0.1,201,81599,n/2,40799,9,0.005809325856780685
binomial,0.1,201,81599,n/2,40799,10,0.00894254226159102
binomial,0.1,201,81599,n/2,40799,11,0.004798120101142834
binomial,0.1,201,81599,n/2,40799,12,0.005435359463679687
binomial,0.1,201,81599,n/2,40799,13,0.007271062632677098
binomial,0.1,201,81599,n/2,40799,14,0.007515548832840389
binomial,0.1,201,81599,n/2,40799,15,0.007307251065574128
binomial,0.1,201,81599,n/2,40799,16,0.0034648035112502308
binomial,0.1,201,81599,n/2,40799,17,0.007078958909334396
binomial,0.1,201,81599,n/2,40799,18,0.006408028422729928
binomial,0.1,201,81599,n/2,40799,19,0.004627362773501396
binomial,0.1,201,81599,n/2,40799,20,0.005617994488318475
binomial,0.1,201,81599,n/2,40799,21,0.006136011401211193
binomial,0.1,201,81599,n/2,40799,22,0.0050481331430522036
binomial,0.1,201,81599,n/2,40799,23,0.006016602746768095
binomial,0.1,201,81599,n/2,40799,24,0.005719307056317405
binomial,0.1,201,81599,n/2,40799,25,0.007053451212706877
binomial,0.1,201,81599,n/2,40799,26,0.005105399346800921
binomial,0.1,201,81599,n/2,40799,27,0.006147988535217869
binomial,0.1,201,81599,n/2,40799,28,0.004829269550738327
binomial,0.1,201,81599,n/2,40799,29,0.009039113198943138
binomial,0.1,201,81599,n/2,40799,30,0.004953090973749374
binomial,0.1,201,81599,n/2,40799,31,0.009041804893802373
binomial,0.1,201,81599,n/2,40799,32,0.008000349881015008
binomial,0.1,201,81599,n/2,40799,33,0.0033051215122983073
binomial,0.1,201,81599,n/2,40799,34,0.004905608773316177
binomial,0.1,201,81599,n/2,40799,35,0.007103886346366755
binomial,0.1,201,81599,n/2,40799,36,0.007119133821956428
binomial,0.1,201,81599,n/2,40799,37,0.006903224705615466
binomial,0.1,201,81599,n/2,40799,38,0.00568996591571958
binomial,0.1,201,81599,n/2,40799,39,0.007759020653959497
binomial,0.1,201,81599,n/2,40799,40,0.00809469970786892
binomial,0.1,201,81599,n/2,40799,41,0.004352716374722886
binomial,0.1,201,81599,n/2,40799,42,0.007698849809616956
binomial,0.1,201,81599,n/2,40799,43,0.008254335143933755
binomial,0.1,201,81599,n/2,40799,44,0.005767425312335938
binomial,0.1,201,81599,n/2,40799,45,0.008137992393818697
binomial,0.1,201,81599,n/2,40799,46,0.004663652513403395
binomial,0.1,201,81599,n/2,40799,47,0.007998444495877468
binomial,0.1,201,81599,n/2,40799,48,0.00550844456688503
binomial,0.1,201,81599,n/2,40799,49,0.008760168475319744
binomial,0.1,201,81599,n/2,40799,50,0.006612343800886308
binomial,0.1,201,81599,n,81599,1,0.004953887422031693
binomial,0.1,201,81599,n,81599,2,0.004516577650225893
binomial,0.1,201,81599,n,81599,3,0.004868458391973125
binomial,0.1,201,81599,n,81599,4,0.004736589586900401
binomial,0.1,201,81599,n,81599,5,0.004720638393749456
binomial,0.1,201,81599,n,81599,6,0.00406863458334917
binomial,0.1,201,81599,n,81599,7,0.005389736628397538
binomial,0.1,201,81599,n,81599,8,0.0032745542785586556
binomial,0.1,201,81599,n,81599,9,0.003876487645353765
binomial,0.1,201,81599,n,81599,10,0.00582483200207695
binomial,0.1,201,81599,n,81599,11,0.0034874586131689272
binomial,0.1,201,81599,n,81599,12,0.003909612000284456
binomial,0.1,201,81599,n,81599,13,0.006249374419381051
binomial,0.1,201,81599,n,81599,14,0.003793173554256336
binomial,0.1,201,81599,n,81599,15,0.003609456475919884
binomial,0.1,201,81599,n,81599,16,0.0039962404774900335
binomial,0.1,201,81599,n,81599,17,0.005062416375014372
binomial,0.1,201,81599,n,81599,18,0.0045441399470976685
binomial,0.1,201,81599,n,81599,19,0.003991479480612224
binomial,0.1,201,81599,n,81599,20,0.004093797880740909
binomial,0.1,201,81599,n,81599,21,0.004255098978616133
binomial,0.1,201,81599,n,81599,22,0.0047006215647031665
binomial,0.1,201,81599,n,81599,23,0.0028267175897455504
binomial,0.1,201,81599,n,81599,24,0.004282516714921695
binomial,0.1,201,81599,n,81599,25,0.00617917466788026
binomial,0.1,201,81599,n,81599,26,0.0029913751364241585
binomial,0.1,201,81599,n,81599,27,0.004913627520634848
binomial,0.1,201,81599,n,81599,28,0.003239768499761089
binomial,0.1,201,81599,n,81599,29,0.0052297856857700924
binomial,0.1,201,81599,n,81599,30,0.003552479861356782
binomial,0.1,201,81599,n,81599,31,0.0069142279448869935
binomial,0.1,201,81599,n,81599,32,0.003283425767298562
binomial,0.1,201,81599,n,81599,33,0.003985389050120362
binomial,0.1,201,81599,n,81599,34,0.0031147101230513796
binomial,0.1,201,81599,n,81599,35,0.005023289525051251
binomial,0.1,201,81599,n,81599,36,0.003314615226562968
binomial,0.1,201,81599,n,81599,37,0.005086652972443784
binomial,0.1,201,81599,n,81599,38,0.004977457794988722
binomial,0.1,201,81599,n,81599,39,0.003999367480660941
binomial,0.1,201,81599,n,81599,40,0.005127592573802811
binomial,0.1,201,81599,n,81599,41,0.0038722747608071046
binomial,0.1,201,81599,n,81599,42,0.004542105861074671
binomial,0.1,201,81599,n,81599,43,0.00425417309676686
binomial,0.1,201,81599,n,81599,44,0.004966483931165762
binomial,0.1,201,81599,n,81599,45,0.005863248414403789
binomial,0.1,201,81599,n,81599,46,0.002321874787552347
binomial,0.1,201,81599,n,81599,47,0.003954866575004706
binomial,0.1,201,81599,n,81599,48,0.004400030815913508
binomial,0.1,201,81599,n,81599,49,0.004708169089498519
binomial,0.1,201,81599,n,81599,50,0.005678989008964049
binomial,0.1,201,81599,2n,163198,1,0.0027539713914290606
binomial,0.1,201,81599,2n,163198,2,0.0029825868731503907
binomial,0.1,201,81599,2n,163198,3,0.0028549919254173923
binomial,0.1,201,81599,2n,163198,4,0.0044603264681416
binomial,0.1,201,81599,2n,163198,5,0.0023917588643108537
binomial,0.1,201,81599,2n,163198,6,0.0022084979891542358
binomial,0.1,201,81599,2n,163198,7,0.00440966729873863
binomial,0.1,201,81599,2n,163198,8,0.002465773020894159
binomial,0.1,201,81599,2n,163198,9,0.002907204025216737
binomial,0.1,201,81599,2n,163198,10,0.004155005460147719
binomial,0.1,201,81599,2n,163198,11,0.002592219466544922
binomial,0.1,201,81599,2n,163198,12,0.003559709969997974
binomial,0.1,201,81599,2n,163198,13,0.003035883311598816
binomial,0.1,201,81599,2n,163198,14,0.002629865041122386
binomial,0.1,201,81599,2n,163198,15,0.0024539355219334027
binomial,0.1,201,81599,2n,163198,16,0.003672877623652976
binomial,0.1,201,81599,2n,163198,17,0.003837123192002907
binomial,0.1,201,81599,2n,163198,18,0.003434097648980303
binomial,0.1,201,81599,2n,163198,19,0.0032886592361173763
binomial,0.1,201,81599,2n,163198,20,0.0019628229464858354
binomial,0.1,201,81599,2n,163198,21,0.0023505664660368733
binomial,0.1,201,81599,2n,163198,22,0.00480678169488818
binomial,0.1,201,81599,2n,163198,23,0.003267868776049807
binomial,0.1,201,81599,2n,163198,24,0.0035279386570852746
binomial,0.1,201,81599,2n,163198,25,0.004501557095667074
