dist,bin_size_ms,k,n_theory,n_label,n,seed,tvd
binomial,1,21,9599,n/4,2399,1,0.02760765342823715
binomial,1,21,9599,n/4,2399,2,0.026572621827723734
binomial,1,21,9599,n/4,2399,3,0.021561984371870655
binomial,1,21,9599,n/4,2399,4,0.025223965742231343
binomial,1,21,9599,n/4,2399,5,0.03190778284681112
binomial,1,21,9599,n/4,2399,6,0.01854774742237777
binomial,1,21,9599,n/4,2399,7,0.023035278813249564
binomial,1,21,9599,n/4,2399,8,0.0338169064507876
binomial,1,21,9599,n/4,2399,9,0.020822545695970734
binomial,1,21,9599,n/4,2399,10,0.03161043880282968
binomial,1,21,9599,n/4,2399,11,0.018754007419778715
binomial,1,21,9599,n/4,2399,12,0.02410316189014195
binomial,1,21,9599,n/4,2399,13,0.030720958018014773
binomial,1,21,9599,n/4,2399,14,0.01888381008706311
binomial,1,21,9599,n/4,2399,15,0.030404962664497298
binomial,1,21,9599,n/4,2399,16,0.025423877186554478
binomial,1,21,9599,n/4,2399,17,0.01967854080422805
binomial,1,21,9599,n/4,2399,18,0.044777021451809174
binomial,1,21,9599,n/4,2399,19,0.03223675675767829
binomial,1,21,9599,n/4,2399,20,0.025568919163934858
binomial,1,21,9599,n/4,2399,21,0.02378953661010286
binomial,1,21,9599,n/4,2399,22,0.03382986115634121
binomial,1,21,9599,n/4,2399,23,0.02275374532988192
binomial,1,21,9599,n/4,2399,24,0.032935470081756985
binomial,1,21,9599,n/4,2399,25,0.016877251498248952
binomial,1,21,9599,n/4,2399,26,0.022711747484735877
binomial,1,21,9599,n/4,2399,27,0.037872526734110845
binomial,1,21,9599,n/4,2399,28,0.0264495087942017
binomial,1,21,9599,n/4,2399,29,0.03295966375366071
binomial,1,21,9599,n/4,2399,30,0.029329035569350487
binomial,1,21,9599,n/4,2399,31,0.028132280045223407
binomial,1,21,9599,n/4,2399,32,0.018141744930876464
binomial,1,21,9599,n/4,2399,33,0.019520690412310568
binomial,1,21,9599,n/4,2399,34,0.014472652545021022
binomial,1,21,9599,n/4,2399,35,0.028180628431096703
binomial,1,21,9599,n/4,2399,36,0.022821059073940612
binomial,1,21,9599,n/4,2399,37,0.024408998366145504
binomial,1,21,9599,n/4,2399,38,0.031185891539814884
binomial,1,21,9599,n/4,2399,39,0.022071710771796763
binomial,1,21,9599,n/4,2399,40,0.030194636333381233
binomial,1,21,9599,n/4,2399,41,0.0374877773855765
binomial,1,21,9599,n/4,2399,42,0.029253168968719108
binomial,1,21,9599,n/4,2399,43,0.01548388919615651
binomial,1,21,9599,n/4,2399,44,0.020751674058984926
binomial,1,21,9599,n/4,2399,45,0.03239814198578635
binomial,1,21,9599,n/4,2399,46,0.028432272433638286
binomial,1,21,9599,n/4,2399,47,0.034322651985934816
binomial,1,21,9599,n/4,2399,48,0.02661919206219355
binomial,1,21,9599,n/4,2399,49,0.02025397214456208
binomial,1,21,9599,n/4,2399,50,0.019022671268999144
binomial,1,21,9599,n/2,4799,1,0.012101424388722696
binomial,1,21,9599,n/2,4799,2,0.026144965088946228
binomial,1,21,9599,n/2,4799,3,0.019105438889004452
binomial,1,21,9599,n/2,4799,4,0.020908426855921494
binomial,1,21,9599,n/2,4799,5,0.02585426711320741
binomial,1,21,9599,n/2,4799,6,0.013079605690760665
binomial,1,21,9599,n/2,4799,7,0.02180528432087345
binomial,1,21,9599,n/2,4799,8,0.025917782140637675
binomial,1,21,9599,n/2,4799,9,0.018886755148205366
binomial,1,21,9599,n/2,4799,10,0.03136185552458349
binomial,1,21,9599,n/2,4799,11,0.020136606844794614
binomial,1,21,9599,n/2,4799,12,0.015725657849988445
binomial,1,21,9599,n/2,4799,13,0.02113395880897697
binomial,1,21,9599,n/2,4799,14,0.014527810715367198
binomial,1,21,9599,n/2,4799,15,0.02839933233624779
binomial,1,21,9599,n/2,4799,16,0.01659509404844763
binomial,1,21,9599,n/2,4799,17,0.01834267550494481
binomial,1,21,9599,n/2,4799,18,0.017691138287985485
binomial,1,21,9599,n/2,4799,19,0.018506019903883772
binomial,1,21,9599,n/2,4799,20,0.01742892236504919
binomial,1,21,9599,n/2,4799,21,0.01567167658486895
binomial,1,21,9599,n/2,4799,22,0.017809425301540775
binomial,1,21,9599,n/2,4799,23,0.02084346313381176
binomial,1,21,9599,n/2,4799,24,0.01725631744868048
binomial,1,21,9599,n/2,4799,25,0.017255187307851694
binomial,1,21,9599,n/2,4799,26,0.00868728365046598
binomial,1,21,9599,n/2,4799,27,0.021114945535884378
binomial,1,21,9599,n/2,4799,28,0.021823146189717195
binomial,1,21,9599,n/2,4799,29,0.013685360777549558
binomial,1,21,9599,n/2,4799,30,0.013723489666362845
binomial,1,21,9599,n/2,4799,31,0.016848880714564276
binomial,1,21,9599,n/2,4799,32,0.018814131626861158
binomial,1,21,9599,n/2,4799,33,0.011629036452080075
binomial,1,21,9599,n/2,4799,34,0.01249045932210968
binomial,1,21,9599,n/2,4799,35,0.02408777949561117
binomial,1,21,9599,n/2,4799,36,0.01368626854672596
binomial,1,21,9599,n/2,4799,37,0.01874286121416885
binomial,1,21,9599,n/2,4799,38,0.01685722471898143
binomial,1,21,9599,n/2,4799,39,0.01513641967105722
binomial,1,21,9599,n/2,4799,40,0.027621037911861997
binomial,1,21,9599,n/2,4799,41,0.02165924377504988
binomial,1,21,9599,n/2,4799,42,0.02076231635940852
binomial,1,21,9599,n/2,4799,43,0.014204004601305413
binomial,1,21,9599,n/2,4799,44,0.01149382157036604
binomial,1,21,9599,n/2,4799,45,0.020671476843854283
binomial,1,21,9599,n/2,4799,46,0.02330053495998105
binomial,1,21,9599,n/2,4799,47,0.021650536901430616
binomial,1,21,9599,n/2,4799,48,0.01993850649185637
binomial,1,21,9599,n/2,4799,49,0.01615140238859466
binomial,1,21,9599,n/2,4799,50,0.012183296901530312
binomial,1,21,9599,n,9599,1,0.010355462281825056
binomial,1,21,9599,n,9599,2,0.013795208963258438
binomial,1,21,9599,n,9599,3,0.016217646840736576
binomial,1,21,9599,n,9599,4,0.017271629235734276
binomial,1,21,9599,n,9599,5,0.006759454886333974
binomial,1,21,9599,n,9599,6,0.008942204970272098
binomial,1,21,9599,n,9599,7,0.018576175523979124
binomial,1,21,9599,n,9599,8,0.019011002230711366
binomial,1,21,9599,n,9599,9,0.008766122156908846
binomial,1,21,9599,n,9599,10,0.018364416011759126
binomial,1,21,9599,n,9599,11,0.012162590762055942
binomial,1,21,9599,n,9599,12,0.009428088174957553
binomial,1,21,9599,n,9599,13,0.014247703433024523
binomial,1,21,9599,n,9599,14,0.011354587589506044
binomial,1,21,9599,n,9599,15,0.017526305979869584
binomial,1,21,9599,n,9599,16,0.01394091279373291
binomial,1,21,9599,n,9599,17,0.012378584930009878
binomial,1,21,9599,n,9599,18,0.01587079462750216
binomial,1,21,9599,n,9599,19,0.01512531370331273
binomial,1,21,9599,n,9599,20,0.01487433789906282
binomial,1,21,9599,n,9599,21,0.012314553136117288
binomial,1,21,9599,n,9599,22,0.017514088437239086
binomial,1,21,9599,n,9599,23,0.015652547864718223
binomial,1,21,9599,n,9599,24,0.01548634107963074
binomial,1,21,9599,n,9599,25,0.011889121994175848
binomial,1,21,9599,n,9599,26,0.009404351430853681
binomial,1,21,9599,n,9599,27,0.01497150756552992
binomial,1,21,9599,n,9599,28,0.014857707961001367
binomial,1,21,9599,n,9599,29,0.012419506688579532
binomial,1,21,9599,n,9599,30,0.01029174334556554
binomial,1,21,9599,n,9599,31,0.011981518420841296
binomial,1,21,9599,n,9599,32,0.012959615602283595
binomial,1,21,9599,n,9599,33,0.012196698900634571
binomial,1,21,9599,n,9599,34,0.015736108472513964
binomial,1,21,9599,n,9599,35,0.015623737442107141
binomial,1,21,9599,n,9599,36,0.01052663574393612
binomial,1,21,9599,n,9599,37,0.01326962900305803
binomial,1,21,9599,n,9599,38,0.010513422103931238
binomial,1,21,9599,n,9599,39,0.012761426699734112
binomial,1,21,9599,n,9599,40,0.015965566348006156
binomial,1,21,9599,n,9599,41,0.01302053074201365
binomial,1,21,9599,n,9599,42,0.011656292727470713
binomial,1,21,9599,n,9599,43,0.007045359571273959
binomial,1,21,9599,n,9599,44,0.011115437684574217
binomial,1,21,9599,n,9599,45,0.01723784110809133
binomial,1,21,9599,n,9599,46,0.0123233394779777
binomial,1,21,9599,n,9599,47,0.017310875432542738
binomial,1,21,9599,n,9599,48,0.012896811891339918
binomial,1,21,9599,n,9599,49,0.010381993284721234
binomial,1,21,9599,n,9599,50,0.008621452972160989
binomial,1,21,9599,2n,19198,1,0.007583746724804808
binomial,1,21,9599,2n,19198,2,0.008445258587148624
binomial,1,21,9599,2n,19198,3,0.009204884868995077
binomial,1,21,9599,2n,19198,4,0.008632514759679261
binomial,1,21,9599,2n,19198,5,0.00935461123991359
binomial,1,21,9599,2n,19198,6,0.010406768747960081
binomial,1,21,9599,2n,19198,7,0.012569532504689158
binomial,1,21,9599,2n,19198,8,0.010042144253994391
binomial,1,21,9599,2n,19198,9,0.010391892163824619
binomial,1,21,9599,2n,19198,10,0.011226541984328342
binomial,1,21,9599,2n,19198,11,0.010379336627650532
binomial,1,21,9599,2n,19198,12,0.009349977092105177
binomial,1,21,9599,2n,19198,13,0.011623549578102823
binomial,1,21,9599,2n,19198,14,0.007300824172199623
binomial,1,21,9599,2n,19198,15,0.011819840471053143
binomial,1,21,9599,2n,19198,16,0.008373619057334997
binomial,1,21,9599,2n,19198,17,0.00983616133160447
binomial,1,21,9599,2n,19198,18,0.007936454810305209
binomial,1,21,9599,2n,19198,19,0.00949787221758165
binomial,1,21,9599,2n,19198,20,0.008646475323688025
binomial,1,21,9599,2n,19198,21,0.00970501089508375
binomial,1,21,9599,2n,19198,22,0.009405762717827799
binomial,1,21,9599,2n,19198,23,0.007610419303479827
binomial,1,21,9599,2n,19198,24,0.0069808639055838825
binomial,1,21,9599,2n,19198,25,0.006790317313250685
binomial,1,21,9599,2n,19198,26,0.007867876993316874
binomial,1,21,9599,2n,19198,27,0.00591252930326526
binomial,1,21,9599,2n,19198,28,0.008456856474949453
binomial,1,21,9599,2n,19198,29,0.013920762139268699
binomial,1,21,9599,2n,19198,30,0.007269334142339059
binomial,1,21,9599,2n,19198,31,0.008620217040449792
binomial,1,21,9599,2n,19198,32,0.010317919961933418
binomial,1,21,9599,2n,19198,33,0.007140991476404527
binomial,1,21,9599,2n,19198,34,0.01370464845155235
binomial,1,21,9599,2n,19198,35,0.009322515067016993
binomial,1,21,9599,2n,19198,36,0.006236593777195131
binomial,1,21,9599,2n,19198,37,0.008181360838673853
