dist,bin_size_ms,k,n_theory,n_label,n,seed,tvd
piecewise,10,2,1999,n/4,499,1,0.017354709418837683
piecewise,10,2,1999,n/4,499,2,0.00332665330661322
piecewise,10,2,1999,n/4,499,3,0.0013226452905811537
piecewise,10,2,1999,n/4,499,4,0.04476953907815634
piecewise,10,2,1999,n/4,499,5,0.01334669338677355
piecewise,10,2,1999,n/4,499,6,0.03474949899799601
piecewise,10,2,1999,n/4,499,7,0.010701402805611243
piecewise,10,2,1999,n/4,499,8,0.021362725450901815
piecewise,10,2,1999,n/4,499,9,0.01270541082164331
piecewise,10,2,1999,n/4,499,10,0.007334669338677352
piecewise,10,2,1999,n/4,499,11,0.01935871743486975
piecewise,10,2,1999,n/4,499,12,0.03274549098196394
piecewise,10,2,1999,n/4,499,13,0.02336673346693388
piecewise,10,2,1999,n/4,499,14,0.0006813627254509125
piecewise,10,2,1999,n/4,499,15,0.005330661322645286
piecewise,10,2,1999,n/4,499,16,0.01270541082164331
piecewise,10,2,1999,n/4,499,17,0.03539078156312625
piecewise,10,2,1999,n/4,499,18,0.0006813627254509125
piecewise,10,2,1999,n/4,499,19,0.0026853707414829786
piecewise,10,2,1999,n/4,499,20,0.005330661322645286
piecewise,10,2,1999,n/4,499,21,0.00332665330661322
piecewise,10,2,1999,n/4,499,22,0.017354709418837683
piecewise,10,2,1999,n/4,499,23,0.020721442885771574
piecewise,10,2,1999,n/4,499,24,0.025370741482965947
piecewise,10,2,1999,n/4,499,25,0.006693386773547111
piecewise,10,2,1999,n/4,499,26,0.01671342685370744
piecewise,10,2,1999,n/4,499,27,0.04476953907815634
piecewise,10,2,1999,n/4,499,28,0.06881763527054108
piecewise,10,2,1999,n/4,499,29,0.037394789579158316
piecewise,10,2,1999,n/4,499,30,0.007334669338677352
piecewise,10,2,1999,n/4,499,31,0.030741482965931877
piecewise,10,2,1999,n/4,499,32,0.009338677354709418
piecewise,10,2,1999,n/4,499,33,0.031382765531062146
piecewise,10,2,1999,n/4,499,34,0.015350701402805617
piecewise,10,2,1999,n/4,499,35,0.015350701402805617
piecewise,10,2,1999,n/4,499,36,0.015350701402805617
piecewise,10,2,1999,n/4,499,37,0.017354709418837683
piecewise,10,2,1999,n/4,499,38,0.021362725450901815
piecewise,10,2,1999,n/4,499,39,0.01671342685370744
piecewise,10,2,1999,n/4,499,40,0.015350701402805617
piecewise,10,2,1999,n/4,499,41,0.03474949899799601
piecewise,10,2,1999,n/4,499,42,0.00332665330661322
piecewise,10,2,1999,n/4,499,43,0.02336673346693388
piecewise,10,2,1999,n/4,499,44,0.0006813627254509125
piecewise,10,2,1999,n/4,499,45,0.022725450901803612
piecewise,10,2,1999,n/4,499,46,0.025370741482965947
piecewise,10,2,1999,n/4,499,47,0.008697394789579177
piecewise,10,2,1999,n/4,499,48,0.007334669338677352
piecewise,10,2,1999,n/4,499,49,0.004689378757515045
piecewise,10,2,1999,n/4,499,50,0.00332665330661322
piecewise,10,2,1999,n/2,999,1,0.0033433433433433524
piecewise,10,2,1999,n/2,999,2,0.0046646646646646694
piecewise,10,2,1999,n/2,999,3,0.010670670670670651
piecewise,10,2,1999,n/2,999,4,0.026366366366366356
piecewise,10,2,1999,n/2,999,5,0.008668668668668666
piecewise,10,2,1999,n/2,999,6,0.0016616616616616509
piecewise,10,2,1999,n/2,999,7,0.0046646646646646694
piecewise,10,2,1999,n/2,999,8,0.028688688688688707
piecewise,10,2,1999,n/2,999,9,0.007347347347347377
piecewise,10,2,1999,n/2,999,10,0.005665665665665648
piecewise,10,2,1999,n/2,999,11,0.01667667667667666
piecewise,10,2,1999,n/2,999,12,0.029369369369369375
