dist,bin_size_ms,k,n_theory,n_label,n,seed,tvd
zipf,0.05,381,153599,n/4,38399,1,0.006277816384068168
zipf,0.05,381,153599,n/4,38399,2,0.006132091710715909
zipf,0.05,381,153599,n/4,38399,3,0.00465707615968102
zipf,0.05,381,153599,n/4,38399,4,0.006656623275499089
zipf,0.05,381,153599,n/4,38399,5,0.004835731074657318
zipf,0.05,381,153599,n/4,38399,6,0.00616332701998937
zipf,0.05,381,153599,n/4,38399,7,0.00763520843674521
zipf,0.05,381,153599,n/4,38399,8,0.0069130887200869635
zipf,0.05,381,153599,n/4,38399,9,0.005102470705228418
zipf,0.05,381,153599,n/4,38399,10,0.008236778826459821
zipf,0.05,381,153599,n/4,38399,11,0.004604953962285498
zipf,0.05,381,153599,n/4,38399,12,0.00763867569442892
zipf,0.05,381,153599,n/4,38399,13,0.007586858310628688
zipf,0.05,381,153599,n/4,38399,14,0.005137091406140687
zipf,0.05,381,153599,n/4,38399,15,0.007629725620145352
zipf,0.05,381,153599,n/4,38399,16,0.004020280050423946
zipf,0.05,381,153599,n/4,38399,17,0.007905935415670647
zipf,0.05,381,153599,n/4,38399,18,0.008506112402263809
zipf,0.05,381,153599,n/4,38399,19,0.007561376771478133
zipf,0.05,381,153599,n/4,38399,20,0.006697714725755104
zipf,0.05,381,153599,n/4,38399,21,0.00685899508179211
zipf,0.05,381,153599,n/4,38399,22,0.005440320305622524
zipf,0.05,381,153599,n/4,38399,23,0.008878037449697526
zipf,0.05,381,153599,n/4,38399,24,0.0059740239352885464
zipf,0.05,381,153599,n/4,38399,25,0.007824472129171929
zipf,0.05,381,153599,n/4,38399,26,0.005856434895485211
zipf,0.05,381,153599,n/4,38399,27,0.007253625377765569
zipf,0.05,381,153599,n/4,38399,28,0.005445318464981081
zipf,0.05,381,153599,n/4,38399,29,0.005086161410581828
zipf,0.05,381,153599,n/4,38399,30,0.005383885331365851
zipf,0.05,381,153599,n/4,38399,31,0.006981065509675268
zipf,0.05,381,153599,n/4,38399,32,0.004258433688574294
zipf,0.05,381,153599,n/4,38399,33,0.005687138829027062
zipf,0.05,381,153599,n/4,38399,34,0.006383748211902392
zipf,0.05,381,153599,n/4,38399,35,0.006157094094500935
zipf,0.05,381,153599,n/4,38399,36,0.008198217329841214
zipf,0.05,381,153599,n/4,38399,37,0.007156999940468857
zipf,0.05,381,153599,n/4,38399,38,0.006698899666335952
zipf,0.05,381,153599,n/4,38399,39,0.004404279656482194
zipf,0.05,381,153599,n/4,38399,40,0.006382050111684065
zipf,0.05,381,153599,n/4,38399,41,0.0064641053777325375
zipf,0.05,381,153599,n/4,38399,42,0.0054955973231148505
zipf,0.05,381,153599,n/4,38399,43,0.007685248876990572
zipf,0.05,381,153599,n/4,38399,44,0.006011775164376206
zipf,0.05,381,153599,n/4,38399,45,0.005942892857965969
zipf,0.05,381,153599,n/4,38399,46,0.004671627542300888
zipf,0.05,381,153599,n/4,38399,47,0.008425409691960211
zipf,0.05,381,153599,n/4,38399,48,0.008268579914673614
zipf,0.05,381,153599,n/4,38399,49,0.006605999134937284
zipf,0.05,381,153599,n/4,38399,50,0.006223364260451719
zipf,0.05,381,153599,n/2,76799,1,0.004174828150615207
zipf,0.05,381,153599,n/2,76799,2,0.004540830147805914
zipf,0.05,381,153599,n/2,76799,3,0.0034083004057636063
zipf,0.05,381,153599,n/2,76799,4,0.0035542967100202433
zipf,0.05,381,153599,n/2,76799,5,0.00498275603341223
zipf,0.05,381,153599,n/2,76799,6,0.0038777367974373892
zipf,0.05,381,153599,n/2,76799,7,0.003215476209946212
zipf,0.05,381,153599,n/2,76799,8,0.0038197813389195187
zipf,0.05,381,153599,n/2,76799,9,0.004194165131358767
zipf,0.05,381,153599,n/2,76799,10,0.005209295592741983
zipf,0.05,381,153599,n/2,76799,11,0.0033008660788232075
zipf,0.05,381,153599,n/2,76799,12,0.005577032976892389
zipf,0.05,381,153599,n/2,76799,13,0.0061042893615864124
zipf,0.05,381,153599,n/2,76799,14,0.0026666836894912184
zipf,0.05,381,153599,n/2,76799,15,0.004036598886446616
zipf,0.05,381,153599,n/2,76799,16,0.005250253841378814
zipf,0.05,381,153599,n/2,76799,17,0.006112118576136373
zipf,0.05,381,153599,n/2,76799,18,0.005697098809822937
zipf,0.05,381,153599,n/2,76799,19,0.003321504479173855
zipf,0.05,381,153599,n/2,76799,20,0.005124816880475891
zipf,0.05,381,153599,n/2,76799,21,0.0044220696653730985
zipf,0.05,381,153599,n/2,76799,22,0.004021638020444485
zipf,0.05,381,153599,n/2,76799,23,0.0031973297735246975
zipf,0.05,381,153599,n/2,76799,24,0.004790403290466328
zipf,0.05,381,153599,n/2,76799,25,0.005060682554147386
zipf,0.05,381,153599,n/2,76799,26,0.004596954053403553
zipf,0.05,381,153599,n/2,76799,27,0.0038128436295085874
zipf,0.05,381,153599,n/2,76799,28,0.003974621778185011
zipf,0.05,381,153599,n/2,76799,29,0.005317859874144706
zipf,0.05,381,153599,n/2,76799,30,0.005359754117716347
zipf,0.05,381,153599,n/2,76799,31,0.00488198299681763
zipf,0.05,381,153599,n/2,76799,32,0.003359262703651342
zipf,0.05,381,153599,n/2,76799,33,0.003926184701146444
zipf,0.05,381,153599,n/2,76799,34,0.004215393682601186
zipf,0.05,381,153599,n/2,76799,35,0.004385443642133367
zipf,0.05,381,153599,n/2,76799,36,0.004805564822177113
zipf,0.05,381,153599,n/2,76799,37,0.005586681012085082
zipf,0.05,381,153599,n/2,76799,38,0.006161563869498018
zipf,0.05,381,153599,n/2,76799,39,0.004515386068630471
zipf,0.05,381,153599,n/2,76799,40,0.004752092989547978
zipf,0.05,381,153599,n/2,76799,41,0.004640070579766344
zipf,0.05,381,153599,n/2,76799,42,0.00460112355184043
zipf,0.05,381,153599,n/2,76799,43,0.006291180737268319
zipf,0.05,381,153599,n/2,76799,44,0.0034594757839068527
zipf,0.05,381,153599,n/2,76799,45,0.004309005909368578
zipf,0.05,381,153599,n/2,76799,46,0.003342846326367638
zipf,0.05,381,153599,n/2,76799,47,0.005886325379542494
zipf,0.05,381,153599,n/2,76799,48,0.006143272783515615
zipf,0.05,381,153599,n/2,76799,49,0.004082291571253183
zipf,0.05,381,153599,n/2,76799,50,0.006472016045633938
zipf,0.05,381,153599,n,153599,1,0.0026675479802306394
zipf,0.05,381,153599,n,153599,2,0.0033061580752962814
zipf,0.05,381,153599,n,153599,3,0.0024880859844456566
zipf,0.05,381,153599,n,153599,4,0.0033823692859716948
zipf,0.05,381,153599,n,153599,5,0.0028178722748597026
zipf,0.05,381,153599,n,153599,6,0.00321296706166445
zipf,0.05,381,153599,n,153599,7,0.0033002481029025606
zipf,0.05,381,153599,n,153599,8,0.0031204326256435836
zipf,0.05,381,153599,n,153599,9,0.002540903827945637
zipf,0.05,381,153599,n,153599,10,0.0035697773002454592
zipf,0.05,381,153599,n,153599,11,0.0034043756300642957
zipf,0.05,381,153599,n,153599,12,0.0035787464913702507
zipf,0.05,381,153599,n,153599,13,0.002627093922916204
zipf,0.05,381,153599,n,153599,14,0.003131940957582046
zipf,0.05,381,153599,n,153599,15,0.004215029503708192
zipf,0.05,381,153599,n,153599,16,0.003704041689319669
zipf,0.05,381,153599,n,153599,17,0.005102640159318765
zipf,0.05,381,153599,n,153599,18,0.003867824128283387
zipf,0.05,381,153599,n,153599,19,0.004634039401369224
zipf,0.05,381,153599,n,153599,20,0.0036929910882546307
zipf,0.05,381,153599,n,153599,21,0.0030430593895332727
zipf,0.05,381,153599,n,153599,22,0.003334102336718604
zipf,0.05,381,153599,n,153599,23,0.002668994747796559
zipf,0.05,381,153599,n,153599,24,0.0028376362142822097
zipf,0.05,381,153599,n,153599,25,0.003714505964447727
zipf,0.05,381,153599,n,153599,26,0.004096981524664462
zipf,0.05,381,153599,n,153599,27,0.0042549479725747675
zipf,0.05,381,153599,n,153599,28,0.002020255030610473
zipf,0.05,381,153599,n,153599,29,0.00371522488785965
zipf,0.05,381,153599,n,153599,30,0.003563165684138987
zipf,0.05,381,153599,n,153599,31,0.004473630035271181
zipf,0.05,381,153599,n,153599,32,0.004384638581886771
zipf,0.05,381,153599,n,153599,33,0.003154863457327856
zipf,0.05,381,153599,n,153599,34,0.0020708513875937126
zipf,0.05,381,153599,n,153599,35,0.0029348292498890434
zipf,0.05,381,153599,n,153599,36,0.004651392529305233
zipf,0.05,381,153599,n,153599,37,0.0036639047211230466
zipf,0.05,381,153599,n,153599,38,0.004508998542205732
zipf,0.05,381,153599,n,153599,39,0.0025016035272879805
zipf,0.05,381,153599,n,153599,40,0.003602488583217973
zipf,0.05,381,153599,n,153599,41,0.004856839495146781
zipf,0.05,381,153599,n,153599,42,0.002917358330587259
zipf,0.05,381,153599,n,153599,43,0.0029015887080338755
zipf,0.05,381,153599,n,153599,44,0.002559742858077124
