dist,bin_size_ms,k,n_theory,n_label,n,seed,tvd
zipf,10,2,1999,n/4,499,1,0.002622710892175889
zipf,10,2,1999,n/4,499,2,0.002622710892175889
zipf,10,2,1999,n/4,499,3,0.016650767004400345
zipf,10,2,1999,n/4,499,4,0.021425385300208898
zipf,10,2,1999,n/4,499,5,0.0053933211719523755
zipf,10,2,1999,n/4,499,6,0.0053933211719523755
zipf,10,2,1999,n/4,499,7,0.00863473494027208
zipf,10,2,1999,n/4,499,8,0.016650767004400345
zipf,10,2,1999,n/4,499,9,0.010638742956304147
zipf,10,2,1999,n/4,499,10,0.0013853051398882432
zipf,10,2,1999,n/4,499,11,0.016650767004400345
zipf,10,2,1999,n/4,499,12,0.0033893131559203094
zipf,10,2,1999,n/4,499,13,0.002622710892175889
zipf,10,2,1999,n/4,499,14,0.014646758988368279
zipf,10,2,1999,n/4,499,15,0.0013853051398882432
zipf,10,2,1999,n/4,499,16,0.009401337204016508
zipf,10,2,1999,n/4,499,17,0.0053933211719523755
zipf,10,2,1999,n/4,499,18,0.0053933211719523755
zipf,10,2,1999,n/4,499,19,0.009401337204016508
zipf,10,2,1999,n/4,499,20,0.0053933211719523755
zipf,10,2,1999,n/4,499,21,0.0013853051398882432
zipf,10,2,1999,n/4,499,22,0.020658783036464474
zipf,10,2,1999,n/4,499,23,0.0013853051398882432
zipf,10,2,1999,n/4,499,24,0.020658783036464474
zipf,10,2,1999,n/4,499,25,0.0154133612521127
zipf,10,2,1999,n/4,499,26,0.02743740934830509
zipf,10,2,1999,n/4,499,27,0.011405345220048567
zipf,10,2,1999,n/4,499,28,0.03946145744449748
zipf,10,2,1999,n/4,499,29,0.009401337204016508
zipf,10,2,1999,n/4,499,30,0.03144542538036922
zipf,10,2,1999,n/4,499,31,0.0033893131559203094
zipf,10,2,1999,n/4,499,32,0.007397329187984442
zipf,10,2,1999,n/4,499,33,0.024666799068528603
zipf,10,2,1999,n/4,499,34,0.025433401332273023
zipf,10,2,1999,n/4,499,35,0.00863473494027208
zipf,10,2,1999,n/4,499,36,0.016650767004400345
zipf,10,2,1999,n/4,499,37,0.018654775020432408
zipf,10,2,1999,n/4,499,38,0.0033893131559203094
zipf,10,2,1999,n/4,499,39,0.0013853051398882432
zipf,10,2,1999,n/4,499,40,0.0053933211719523755
zipf,10,2,1999,n/4,499,41,0.013409353236080633
zipf,10,2,1999,n/4,499,42,0.004626718908207948
zipf,10,2,1999,n/4,499,43,0.006630726924240014
zipf,10,2,1999,n/4,499,44,0.014646758988368279
zipf,10,2,1999,n/4,499,45,0.00863473494027208
zipf,10,2,1999,n/4,499,46,0.010638742956304147
zipf,10,2,1999,n/4,499,47,0.002622710892175889
zipf,10,2,1999,n/4,499,48,0.002622710892175889
zipf,10,2,1999,n/4,499,49,0.004626718908207948
zipf,10,2,1999,n/4,499,50,0.014646758988368279
zipf,10,2,1999,n/2,999,1,0.008310065571662716
