seq_num,delay_ms
0,2.8432
1,2.8432
2,2.8432
3,2.8432
4,2.8432
5,2.8432
6,2.8432
7,2.8432
8,2.8432
9,2.8432
10,2.8432
11,2.8432
12,2.8432
13,2.8432
14,2.8432
15,3.6864
16,2.8432
17,2.8432
18,2.8432
19,2.8432
20,2.8432
21,2.8432
22,2.8432
23,3.6864
24,2.8432
25,2.8432
26,3.6864
27,2.8432
28,2.8432
29,2.8432
30,2.8432
31,2.8432
32,2.8432
33,2.8432
34,2.8432
35,2.8432
36,2.8432
37,2.8432
38,2.8432
39,2.8432
40,2.8432
41,2.8432
42,2.8432
43,2.8432
44,2.8432
45,2.8432
46,2.8432
47,2.8432
48,2.8432
49,2.8432
50,3.6864
51,2.8432
52,2.8432
53,2.8432
54,2.8432
55,3.6864
56,2.8432
57,2.8432
58,2.8432
59,2.8432
60,2.8432
61,2.8432
62,2.8432
63,2.8432
64,2.8432
65,2.8432
66,2.8432
67,2.8432
68,2.8432
69,2.8432
70,2.8432
71,2.8432
72,2.8432
73,2.8432
74,2.8432
75,2.8432
76,2.8432
77,2.8432
78,2.8432
79,2.8432
80,2.8432
81,3.6864
82,3.5296
83,2.8432
84,2.8432
85,2.8432
86,2.8432
87,2.8432
88,2.8432
89,2.8432
90,2.8432
91,2.8432
92,3.6864
93,2.8432
94,2.8432
95,2.8432
96,2.8432
97,2.8432
98,2.8432
99,2.8432
100,2.8432
101,3.6864
102,2.8432
103,2.8432
104,2.8432
105,2.8432
106,2.8432
107,2.8432
108,2.8432
109,2.8432
110,2.8432
111,3.6864
112,2.8432
113,2.8432
114,2.8432
115,2.8432
116,2.8432
117,2.8432
118,2.8432
119,2.8432
120,2.8432
121,2.8432
122,3.6864
123,4.5296
124,2.8432
125,2.8432
126,2.8432
127,2.8432
128,2.8432
129,3.6864
130,3.5296
131,2.8432
132,2.8432
133,2.8432
134,2.8432
135,2.8432
136,2.8432
137,2.8432
138,2.8432
139,2.8432
140,2.8432
141,2.8432
142,2.8432
143,2.8432
144,2.8432
145,2.8432
146,2.8432
147,3.6864
148,2.8432
149,2.8432
150,3.6864
151,2.8432
152,2.8432
153,2.8432
154,2.8432
155,2.8432
156,2.8432
157,2.8432
158,2.8432
159,2.8432
160,2.8432
161,2.8432
162,2.8432
163,2.8432
164,2.8432
165,2.8432
166,2.8432
167,2.8432
168,2.8432
169,2.8432
170,3.6864
171,2.8432
172,2.8432
173,2.8432
174,3.6864
175,2.8432
176,2.8432
177,3.6864
178,2.8432
179,2.8432
180,2.8432
181,2.8432
182,2.8432
183,2.8432
184,2.8432
185,2.8432
186,2.8432
187,2.8432
188,2.8432
189,2.8432
190,2.8432
191,2.8432
192,2.8432
193,3.6864
194,2.8432
195,2.8432
196,2.8432
197,2.8432
198,3.6864
199,2.8432
200,2.8432
201,2.8432
202,2.8432
203,3.6864
204,2.8432
205,2.8432
206,2.8432
207,2.8432
208,2.8432
209,3.6864
210,3.5296
211,3.3728
212,4.216
213,4.0592
214,2.8432
215,2.8432
216,2.8432
217,2.8432
218,2.8432
219,2.8432
220,2.8432
221,2.8432
222,2.8432
223,2.8432
224,2.8432
225,2.8432
226,2.8432
227,3.6864
228,2.8432
229,2.8432
230,2.8432
231,2.8432
232,2.8432
233,2.8432
234,2.8432
235,2.8432
236,2.8432
237,3.6864
238,2.8432
239,2.8432
240,2.8432
241,2.8432
242,2.8432
243,2.8432
244,2.8432
245,2.8432
246,3.6864
247,2.8432
248,2.8432
249,2.8432
250,2.8432
251,2.8432
252,2.8432
253,2.8432
254,2.8432
255,2.8432
256,2.8432
257,2.8432
258,2.8432
259,2.8432
260,2.8432
261,3.6864
262,2.8432
263,2.8432
264,2.8432
265,2.8432
266,2.8432
267,3.6864
268,2.8432
269,2.8432
270,2.8432
271,2.8432
272,2.8432
273,2.8432
274,2.8432
275,2.8432
276,2.8432
277,2.8432
278,2.8432
279,2.8432
280,2.8432
281,3.6864
282,4.5296
283,2.8432
284,2.8432
285,2.8432
286,2.8432
287,2.8432
288,2.8432
289,2.8432
290,2.8432
291,2.8432
292,3.6864
293,2.8432
294,3.6864
295,2.8432
296,3.6864
297,2.8432
298,2.8432
299,2.8432
300,3.6864
301,2.8432
302,2.8432
303,2.8432
304,2.8432
305,2.8432
306,2.8432
307,2.8432
308,2.8432
309,2.8432
310,2.8432
311,2.8432
312,2.8432
313,3.6864
314,2.8432
315,2.8432
316,2.8432
317,2.8432
318,2.8432
319,3.6864
320,2.8432
321,2.8432
322,2.8432
323,2.8432
324,2.8432
325,3.6864
326,2.8432
327,2.8432
328,2.8432
329,2.8432
330,2.8432
331,2.8432
332,2.8432
333,2.8432
334,3.6864
335,2.8432
336,2.8432
337,2.8432
338,2.8432
339,2.8432
340,2.8432
341,2.8432
342,2.8432
343,2.8432
344,2.8432
345,3.6864
346,2.8432
347,2.8432
348,2.8432
349,2.8432
350,2.8432
351,2.8432
352,2.8432
353,2.8432
354,2.8432
355,2.8432
356,2.8432
357,2.8432
358,2.8432
359,2.8432
360,2.8432
361,2.8432
362,2.8432
363,2.8432
364,2.8432
365,3.6864
366,2.8432
367,2.8432
368,2.8432
369,2.8432
370,2.8432
371,2.8432
372,2.8432
373,2.8432
374,2.8432
375,2.8432
376,2.8432
377,2.8432
378,2.8432
379,3.6864
380,2.8432
381,2.8432
382,2.8432
383,2.8432
384,2.8432
385,2.8432
386,2.8432
387,2.8432
388,2.8432
389,3.6864
390,2.8432
391,2.8432
392,2.8432
393,2.8432
394,2.8432
395,2.8432
396,2.8432
397,2.8432
398,2.8432
399,2.8432
400,2.8432
401,2.8432
402,3.6864
403,2.8432
404,2.8432
405,2.8432
406,2.8432
407,2.8432
408,2.8432
409,2.8432
410,2.8432
411,2.8432
412,2.8432
413,2.8432
414,2.8432
415,2.8432
416,2.8432
417,3.6864
418,2.8432
419,2.8432
420,2.8432
421,3.6864
422,2.8432
423,2.8432
424,2.8432
425,2.8432
426,2.8432
427,2.8432
428,2.8432
429,3.6864
430,2.8432
431,2.8432
432,2.8432
433,2.8432
434,2.8432
435,2.8432
436,2.8432
437,2.8432
438,2.8432
