seq_num,delay_ms
0,39.8432
1,41.8432
2,37.6864
3,43.5296
4,44.3728
5,41.8432
6,42.8432
7,39.6864
8,44.5296
9,45.3728
10,44.216
11,41.8432
12,41.8432
13,42.6864
14,43.5296
15,44.3728
16,45.216
17,46.0592
18,46.9024
19,47.7456
20,43.5888
21,46.432
22,40.2752
23,44.1184
24,44.9616
25,45.8048
26,45.648
27,45.4912
28,44.3344
29,45.1776
30,46.0208
31,46.864
32,50.7072
33,51.5504
34,49.3936
35,50.2368
36,49.08
37,49.9232
38,49.7664
39,53.6096
40,54.4528
41,52.296
42,53.1392
43,52.9824
44,52.8256
45,53.6688
46,54.512
47,54.3552
48,54.1984
49,62.0416
50,56.8848
51,57.728
52,55.5712
53,59.4144
54,60.2576
55,62.1008
56,61.944
57,62.7872
58,61.6304
59,61.4736
60,62.3168
61,63.16
62,64.0032
63,65.8464
64,66.6896
65,67.5328
66,68.376
67,68.2192
68,63.0624
69,67.9056
70,66.7488
71,66.592
72,67.4352
73,66.2784
74,69.1216
75,68.9648
76,70.808
77,68.6512
78,72.4944
79,73.3376
80,74.1808
81,72.024
82,71.8672
83,71.7104
84,74.5536
85,74.3968
86,74.24
87,74.0832
88,75.9264
89,74.7696
90,76.6128
91,75.456
92,74.2992
93,73.1424
94,77.9856
95,78.8288
96,73.672
97,74.5152
98,74.3584
99,80.2016
100,76.0448
101,77.888
102,78.7312
103,78.5744
104,77.4176
105,83.2608
106,79.104
107,78.9472
108,83.7904
109,81.6336
110,81.4768
111,82.32
112,76.1632
113,72.0064
114,80.8496
115,78.6928
116,76.536
117,76.3792
118,80.2224
119,79.0656
120,79.9088
121,79.752
122,79.5952
123,80.4384
124,81.2816
125,83.1248
126,83.968
127,84.8112
128,86.6544
129,85.4976
130,82.3408
131,85.184
132,86.0272
133,85.8704
134,86.7136
135,87.5568
136,91.4
137,84.2432
138,85.0864
139,85.9296
140,85.7728
141,83.616
142,87.4592
143,85.3024
144,86.1456
145,85.9888
146,86.832
147,88.6752
148,89.5184
149,90.3616
150,92.2048
151,88.048
152,86.8912
153,86.7344
154,86.5776
155,80.4208
156,81.264
157,82.1072
158,82.9504
159,83.7936
160,81.6368
161,81.48
162,78.3232
163,81.1664
164,82.0096
165,82.8528
166,83.696
167,84.5392
168,85.3824
169,83.2256
170,84.0688
171,88.912
172,86.7552
173,85.5984
174,86.4416
175,82.2848
176,83.128
177,83.9712
178,84.8144
179,85.6576
180,83.5008
181,84.344
182,79.1872
183,86.0304
184,89.8736
185,81.7168
186,82.56
187,89.4032
188,84.2464
189,85.0896
190,85.9328
191,86.776
192,86.6192
193,84.4624
194,89.3056
195,92.1488
196,90.992
197,91.8352
198,92.6784
199,93.5216
200,92.3648
201,93.208
202,96.0512
203,95.8944
204,93.7376
205,97.5808
206,92.424
207,91.2672
208,92.1104
209,93.9536
210,93.7968
211,94.64
212,95.4832
213,96.3264
214,94.1696
215,96.0128
216,94.856
217,97.6992
218,98.5424
219,98.3856
220,100.229
221,99.072
222,97.9152
223,97.7584
224,102.602
225,102.445
226,102.288
227,103.131
228,103.974
229,105.818
230,104.661
231,105.504
232,106.347
233,102.19
234,101.034
235,106.877
236,102.72
237,102.563
238,105.406
239,105.25
240,106.093
241,105.936
242,105.779
243,104.622
244,104.466
245,109.309
246,106.152
247,106.995
248,109.838
249,109.682
250,109.525
251,108.368
252,111.211
253,112.054
254,112.898
255,111.741
256,111.584
257,115.427
258,114.27
