seq_num,delay_ms
0,48.5021
1,50.7357
2,49.8621
3,50.0264
4,51.4253
5,49.6582
6,50.7847
7,50.4554
8,47.3923
9,50.2099
10,48.4095
11,49.9496
12,49.8286
13,50.7484
14,49.915
15,50.0687
16,50.2012
17,49.8573
18,50.4136
19,49.6815
20,50.2964
21,48.9523
22,49.5662
23,49.74
24,50.7049
25,50.4828
26,50.8065
27,51.177
28,49.8481
29,47.5174
30,51.4048
31,48.6539
32,48.6421
33,49.6945
34,52.2701
35,48.8179
36,51.0663
37,49.8485
38,48.9601
39,48.9356
40,49.8504
41,49.1781
42,49.5124
43,49.9573
44,49.3677
45,49.1669
46,49.4387
47,50.5257
48,49.1405
49,49.4009
50,48.9331
51,49.6788
52,49.2778
53,50.1545
54,50.0739
55,49.8063
56,48.4613
57,50.7664
58,51.1529
59,50.8871
60,49.6466
61,51.2161
62,49.7351
63,49.1946
64,51.2595
65,47.7212
66,49.5412
67,49.4224
68,50.7636
69,49.5246
70,51.4585
71,51.1548
72,50.3195
73,49.8794
74,51.1411
75,49.9738
76,50.7367
77,49.9305
78,48.398
79,48.5246
80,49.597
81,49.0292
82,51.1783
83,50.7797
84,49.0113
85,50.3018
86,49.2156
87,51.174
88,51.2093
89,49.719
90,50.0345
91,50.6844
92,50.025
93,51.0482
94,49.1762
95,52.0151
96,48.4353
97,52.2579
98,52.6688
99,49.7909
100,49.5749
101,50.6981
102,50.5165
103,49.3983
104,50.2002
105,49.6365
106,49.2309
107,51.4592
108,49.7394
109,51.9891
110,50.6435
111,49.8705
112,51.9374
113,48.9159
114,50.2487
115,50.9094
116,51.53
117,49.9553
118,48.7823
119,49.6291
120,48.6902
121,50.178
122,49.0315
123,50.1373
124,50.1013
125,47.0559
126,49.4761
127,49.0438
128,52.6156
129,50.5099
130,48.6077
131,50.1439
132,50.0441
133,50.5956
134,50.0884
135,49.7801
136,48.7655
137,49.6806
138,50.1368
139,50.7108
140,51.4244
141,50.1269
142,52.0678
143,50.5083
144,50.7278
145,49.8047
146,51.2859
147,49.3481
148,49.8588
149,49.5851
150,49.3129
151,50.4199
152,49.4534
153,49.3398
154,49.091
155,50.0723
156,50.567
157,49.8819
158,50.4968
159,50.9301
160,50.4036
