seq_num,delay_ms
0,1.99495
1,1.79754
2,6.30085
3,3.90677
4,11.7554
5,4.01141
6,0.756648
7,6.11729
8,2.73937
9,5.0908
10,2.22326
11,3.28934
12,5.24621
13,4.57706
14,6.68915
15,4.68155
16,5.29136
17,1.59791
18,8.21591
19,2.52545
20,1.78666
21,6.88577
22,12.174
23,6.24476
24,2.07256
25,6.88746
26,3.96295
27,7.75788
28,7.37134
29,8.28039
30,8.47306
31,6.45822
32,1.59181
33,6.83569
34,2.29043
35,3.07971
36,3.51642
37,2.99393
38,4.66882
39,5.36376
40,8.66113
41,7.37838
42,3.7106
43,5.57185
44,7.05413
45,5.08712
46,4.05993
47,4.92931
48,2.06975
49,4.98264
50,6.10326
51,6.14344
52,8.06331
53,2.21717
54,5.14046
55,8.68452
56,10.3609
57,4.90334
58,6.35665
59,7.08076
60,7.21433
61,2.66241
62,7.17937
63,6.24452
64,7.66589
65,5.3594
66,8.97882
67,4.02719
68,3.47426
69,10.0531
70,6.21399
71,3.92868
72,2.4299
73,0.943625
74,3.09308
75,3.45248
76,8.04355
77,7.66747
78,5.27066
79,2.46314
80,5.54358
81,8.37317
82,4.3321
83,5.17702
84,6.74951
85,7.5429
86,8.66182
87,1.65563
88,2.26615
89,6.23203
90,3.54832
91,3.77201
92,7.24047
93,1.14423
94,1.20096
95,5.86164
96,2.15002
97,4.68078
98,1.45052
99,4.90199
100,5.40828
101,5.34325
102,5.65705
103,7.65673
104,2.95807
105,3.53217
106,7.87773
107,3.89452
108,13.1825
109,1.3543
110,5.83964
111,2.96208
112,2.38815
113,5.15303
114,4.47671
115,1.33309
116,4.56515
117,1.98858
118,5.01894
119,3.70141
120,4.91742
121,4.21539
122,4.08029
123,4.66885
124,9.61441
125,8.0377
126,6.26856
127,2.14609
128,2.78154
129,7.3252
130,3.10982
131,8.81912
132,5.4506
133,3.15701
134,4.78497
135,3.44173
136,1.38058
137,5.23571
138,3.79412
139,5.11228
140,3.93447
141,1.9311
142,2.78191
143,4.67967
