seq_num,delay_ms
0,12
1,10
2,10
3,9
4,11
5,8
6,10
7,9
8,12
9,16
10,12
11,10
12,11
13,8
14,13
15,10
16,9
17,7
18,9
19,12
20,14
21,12
22,9
23,12
24,7
25,10
26,11
27,7
28,8
29,12
30,9
31,11
32,8
33,13
34,12
35,15
36,5
37,14
38,13
39,10
40,10
41,9
42,11
43,10
44,11
45,11
46,12
47,8
48,9
49,8
50,8
51,9
52,10
53,13
54,10
55,10
56,12
57,8
58,9
59,9
60,11
61,13
62,9
63,13
64,10
65,10
66,14
67,14
68,13
69,12
70,12
71,10
72,11
73,12
74,9
75,13
76,11
77,11
78,8
79,12
80,11
81,8
82,10
83,9
84,7
85,12
86,7
87,13
88,10
89,9
90,12
91,13
92,12
93,8
94,7
95,6
96,13
97,12
98,9
99,10
100,10
101,11
102,11
103,12
104,13
105,9
106,11
107,10
108,9
109,10
110,13
111,10
112,9
113,8
114,12
115,9
116,11
117,8
118,9
119,7
120,8
121,6
122,10
123,6
124,8
125,4
126,14
127,6
128,6
129,12
130,9
131,9
132,10
133,9
134,8
135,10
136,11
137,10
138,13
139,12
140,11
141,10
142,12
143,10
144,9
145,9
146,9
147,10
148,9
149,12
150,12
151,13
152,12
153,11
154,6
155,12
156,13
157,8
158,13
159,10
160,12
161,10
162,11
163,10
164,11
165,9
166,12
167,14
168,4
169,10
170,9
171,10
172,7
173,9
174,10
175,13
176,7
177,8
178,9
179,12
180,8
181,9
182,11
183,11
184,9
185,11
186,12
187,10
188,9
189,14
190,14
191,11
192,13
193,13
194,12
195,13
196,12
197,6
198,8
199,7
200,12
201,9
202,8
203,8
204,11
205,10
206,12
207,13
208,6
209,14
210,12
211,10
212,8
213,9
214,10
215,6
216,13
217,9
218,12
219,6
220,8
221,13
222,12
223,8
224,8
225,6
226,11
227,10
228,12
229,8
230,13
231,5
232,10
233,13
234,10
235,11
236,12
237,9
238,8
239,9
240,11
241,9
242,11
243,13
244,11
245,15
246,9
247,10
248,13
249,11
250,11
251,11
252,11
253,10
254,12
255,8
256,12
257,8
258,9
259,10
260,8
261,7
262,8
263,10
264,9
265,12
266,9
267,10
268,13
269,13
270,7
271,13
272,12
273,4
274,10
275,7
276,8
277,4
278,10
279,11
280,12
281,9
282,10
283,11
284,12
285,5
286,6
287,10
288,7
289,8
290,9
291,10
292,12
293,8
294,16
295,13
296,10
297,8
298,9
299,10
300,12
301,8
302,8
303,8
304,6
305,9
306,10
307,13
308,10
309,8
310,7
311,12
312,11
313,11
314,9
315,9
316,9
317,6
318,8
319,10
320,9
321,11
322,14
323,10
324,12
325,11
326,9
327,13
328,9
329,11
330,8
331,12
332,11
333,9
334,9
335,11
336,10
337,9
338,15
339,13
340,11
341,13
342,13
343,6
344,13
345,8
346,9
347,12
348,10
349,13
350,13
351,11
352,8
353,10
354,11
355,10
356,10
357,12
358,6
359,12
360,9
361,7
362,11
363,8
364,10
365,10
366,9
367,10
368,9
369,5
370,9
371,13
372,12
373,9
374,13
375,13
376,7
377,16
378,10
379,13
380,10
381,12
382,9
383,8
384,16
385,7
386,12
387,9
388,12
389,9
390,11
391,9
392,10
393,14
394,12
395,10
396,11
397,11
398,12
399,7
400,10
401,9
402,7
403,9
404,13
405,13
406,12
407,12
408,9
409,12
410,7
411,9
412,7
413,10
414,11
415,14
416,5
417,8
418,9
419,8
420,10
421,11
422,10
423,11
424,10
425,8
426,12
427,8
428,10
429,9
430,13
431,16
432,11
433,8
434,8
435,10
436,10
437,5
438,14
439,8
440,12
441,10
442,7
443,10
444,12
445,10
446,13
447,8
448,10
449,10
450,12
451,7
452,13
453,8
454,10
455,9
456,8
457,10
458,12
459,11
460,10
461,11
462,12
463,8
464,9
465,8
466,9
467,13
468,11
469,11
470,10
471,13
472,6
473,13
474,8
475,9
476,6
477,10
478,13
479,11
480,11
481,10
482,8
483,8
484,8
485,8
486,10
487,11
488,9
489,8
490,10
491,12
492,12
493,11
494,8
495,10
496,7
497,10
498,10
499,12
500,12
501,12
502,9
503,9
504,11
505,9
506,8
507,13
508,15
509,5
510,7
511,13
512,7
513,12
514,13
515,11
516,11
517,9
518,11
519,9
520,9
521,7
522,10
523,8
524,11
525,10
526,9
527,10
528,7
529,12
530,10
531,13
532,14
533,11
534,13
535,10
536,11
537,9
538,10
539,11
540,10
541,12
542,10
543,8
544,10
545,11
546,9
547,10
548,10
549,9
550,11
551,9
552,11
553,11
554,11
555,11
556,11
557,10
558,13
559,9
560,11
561,11
562,9
563,13
564,11
565,6
566,10
567,9
568,7
569,11
570,14
571,12
572,12
573,10
574,13
575,10
576,12
577,13
578,11
579,8
580,10
581,11
582,12
583,8
584,9
585,11
586,12
587,8
588,8
589,11
590,12
591,12
592,10
593,8
594,8
595,11
596,11
597,12
598,8
599,10
600,6
601,9
602,15
603,12
604,12
605,6
606,11
607,10
608,13
609,7
610,10
611,6
612,13
613,9
614,7
615,11
616,13
617,9
618,7
619,14
620,11
621,8
622,8
623,7
624,14
625,10
626,9
627,10
628,10
629,7
630,6
631,12
632,9
633,14
634,12
635,12
636,7
637,13
638,9
639,11
640,9
641,8
642,9
643,9
644,10
645,12
646,10
647,10
648,9
649,7
650,11
651,10
652,9
653,9
654,10
655,10
656,11
657,10
658,9
659,7
660,8
661,13
662,8
663,7
664,12
665,11
666,10
667,12
668,8
669,11
670,9
671,8
672,12
673,11
674,11
675,10
676,9
677,9
678,11
679,8
680,13
681,8
682,10
683,10
684,13
685,10
686,10
687,11
688,9
689,8
690,10
691,12
692,12
693,9
694,8
695,11
696,11
697,7
698,12
699,14
700,15
701,15
702,12
703,9
704,8
705,8
706,10
707,11
708,7
709,10
710,7
711,12
712,9
713,14
714,7
715,7
716,11
717,7
718,12
719,7
720,10
721,11
722,10
723,11
724,11
725,7
726,10
727,8
728,9
729,13
730,7
731,11
732,10
733,8
734,6
735,12
736,7
737,13
738,12
739,13
740,12
741,8
742,12
743,14
744,13
745,9
746,9
747,7
748,8
749,15
750,12
751,11
752,5
753,12
754,10
755,10
756,10
757,13
758,8
759,10
760,10
761,8
762,10
763,11
764,11
765,8
766,12
767,9
768,10
769,7
770,13
771,11
772,12
773,10
774,10
775,7
776,12
777,13
778,10
779,10
780,10
781,11
782,5
783,12
784,9
785,11
786,12
787,9
788,8
789,12
790,10
791,12
792,9
793,7
794,8
795,13
796,5
797,12
798,9
799,11
800,8
801,11
802,10
803,8
804,8
805,8
806,8
807,11
808,8
809,10
810,13
811,8
812,12
813,13
814,14
815,8
816,13
817,13
818,7
819,8
820,12
821,6
822,7
823,6
824,12
825,11
826,11
827,9
828,12
829,9
830,10
831,13
832,8
833,11
834,12
835,12
836,9
837,12
838,6
839,11
840,5
841,9
842,11
843,10
844,12
845,11
846,13
847,12
848,9
849,8
850,10
851,9
852,10
853,10
854,8
855,7
856,12
857,10
858,10
859,6
860,13
861,12
862,11
863,13
864,12
865,11
866,11
867,9
868,8
869,10
870,9
871,8
872,8
873,13
874,8
875,11
876,8
877,11
878,8
879,8
880,9
881,13
882,13
883,12
884,11
885,9
886,7
887,13
888,5
889,11
890,11
891,9
892,10
893,10
894,7
895,11
896,9
897,13
898,9
899,11
900,8
901,10
902,10
903,13
904,11
905,11
906,13
907,10
908,9
909,8
910,12
911,12
912,10
913,13
914,10
915,12
916,9
917,8
918,8
919,7
920,10
921,14
922,8
923,12
924,8
925,11
926,11
927,14
928,12
929,14
930,12
931,8
932,8
933,15
934,9
935,10
936,11
937,14
938,8
939,13
940,9
941,9
942,12
943,8
944,11
945,13
946,10
947,13
948,7
949,10
950,10
951,15
952,12
953,10
954,9
955,9
956,10
957,11
958,13
959,9
960,12
961,8
962,11
963,11
964,13
965,10
966,6
967,15
968,9
969,11
970,6
971,8
972,10
