seq_num,delay_ms
0,16
1,16
2,5
3,10
4,1
5,10
6,19
7,5
8,13
9,8
10,15
11,12
12,7
13,8
14,5
15,8
16,7
17,17
18,1
19,14
20,16
21,3
22,1
23,5
24,16
25,3
26,10
27,3
28,3
29,1
30,1
31,5
32,17
33,4
34,14
35,12
36,11
37,12
38,8
39,7
40,1
41,3
42,10
43,7
44,3
45,8
46,10
47,8
48,16
49,8
50,5
51,5
52,2
53,15
54,7
55,1
56,1
57,8
58,5
59,3
60,3
61,14
62,3
63,5
64,3
65,7
66,1
67,10
68,12
69,1
70,5
71,10
72,14
73,18
74,12
75,12
76,2
77,3
78,7
79,14
80,7
81,1
82,8
83,7
84,4
85,3
86,1
87,16
88,14
89,5
90,11
91,10
92,3
93,18
94,18
95,5
96,15
97,8
98,17
99,8
100,7
101,7
102,6
103,3
104,13
105,11
106,2
107,10
108,1
109,18
110,6
111,13
112,14
113,7
114,8
115,18
116,8
117,16
118,8
119,10
120,8
121,9
122,10
123,8
124,1
125,2
126,5
127,15
128,13
129,3
130,12
131,1
132,7
133,12
134,8
135,12
136,18
137,7
138,10
139,7
140,10
141,16
142,13
143,8
144,3
145,7
146,20
147,10
148,18
149,1
150,3
151,8
152,1
153,9
154,13
155,18
156,8
157,8
158,5
159,3
160,10
161,8
162,3
163,8
164,8
165,18
166,12
167,1
168,3
169,7
170,3
171,18
172,17
173,1
174,10
175,17
176,14
177,8
178,10
179,8
180,16
181,7
182,13
183,7
184,6
185,1
186,2
187,12
188,5
189,3
190,3
191,16
192,1
193,8
194,18
195,7
196,12
197,14
198,16
199,5
200,10
201,8
202,13
203,13
204,12
205,10
206,14
207,12
208,2
209,1
210,5
211,8
212,1
213,14
214,2
215,3
216,10
217,2
218,8
219,8
220,14
221,14
222,13
223,12
224,15
225,8
226,10
227,9
228,10
229,1
230,2
231,12
232,8
233,7
234,3
235,5
236,8
237,12
238,12
239,1
240,12
241,13
242,14
243,1
244,8
245,10
246,10
247,7
248,18
249,7
250,7
251,8
252,1
253,12
254,3
255,3
256,7
257,3
258,1
259,7
260,8
261,18
262,1
263,10
264,14
265,7
266,5
267,9
268,10
269,6
270,16
271,10
272,17
273,12
274,14
275,3
276,13
277,8
278,7
279,10
280,18
281,15
282,16
283,1
284,5
285,15
286,13
287,1
288,5
289,14
290,3
291,8
292,12
293,3
294,9
295,1
296,12
297,5
298,8
299,18
300,7
301,6
302,7
303,18
304,9
305,1
306,9
307,12
308,2
309,8
310,7
311,12
312,13
313,7
314,15
315,1
316,8
317,10
318,3
319,7
320,14
321,8
322,16
323,13
324,1
325,13
326,10
327,10
328,5
329,13
330,16
331,13
332,3
333,12
334,2
335,8
336,10
337,1
338,10
339,1
340,5
341,1
342,10
343,10
344,8
345,8
346,8
347,7
348,5
349,8
350,5
351,10
352,1
353,5
354,6
355,7
356,16
357,12
358,5
359,3
360,10
361,18
362,10
363,13
364,8
365,3
366,14
367,10
368,3
369,12
370,10
371,7
372,5
373,19
374,13
375,1
376,12
377,8
378,12
379,5
380,18
381,18
382,8
383,3
384,3
385,12
386,5
387,14
388,3
389,13
390,13
391,7
392,7
393,13
394,3
395,1
396,3
397,3
398,14
399,14
400,14
401,19
402,10
403,1
404,8
405,12
406,2
407,7
408,10
409,2
410,8
411,5
412,6
413,4
414,13
415,1
416,15
417,3
418,10
419,7
420,18
421,3
422,14
423,5
424,3
425,5
426,16
427,13
428,10
429,5
430,16
431,16
432,3
433,6
434,7
435,14
436,10
437,14
438,15
439,7
440,8
441,12
442,13
443,18
444,18
445,10
446,5
447,10
448,3
449,6
450,5
451,16
452,12
453,10
454,8
455,16
456,5
457,7
458,5
459,5
460,8
461,2
462,1
463,5
464,8
465,12
466,13
467,9
468,13
469,12
470,6
471,9
472,12
473,14
474,3
475,3
476,7
477,7
478,8
479,3
480,16
481,17
482,13
483,1
484,1
485,1
486,5
487,14
488,8
489,9
490,3
491,1
492,10
493,4
494,7
495,16
496,18
497,20
498,12
499,14
500,18
501,14
502,10
503,10
504,10
505,19
506,15
507,1
508,16
509,18
510,20
511,15
512,12
513,18
514,8
515,10
516,5
517,8
518,8
519,11
520,6
521,8
522,1
523,8
524,7
525,12
526,1
527,3
528,5
529,6
530,14
531,12
532,10
533,12
534,5
535,9
536,5
537,8
538,9
539,7
540,3
541,15
542,8
543,8
544,7
545,5
546,10
547,16
548,1
549,12
550,5
551,18
552,5
553,14
554,15
555,1
556,10
557,3
558,5
559,3
560,8
561,14
562,1
563,1
564,18
565,1
566,17
567,1
568,5
569,16
570,5
571,10
572,5
573,4
574,10
575,8
576,1
577,18
578,8
579,16
580,14
581,8
582,15
583,7
584,8
585,12
586,1
587,1
588,20
589,4
590,5
591,5
592,8
593,10
594,8
595,12
596,17
597,3
598,10
599,12
600,15
601,13
602,3
603,5
604,19
605,10
606,16
607,5
608,18
609,10
610,12
611,1
612,3
613,1
614,19
615,16
616,5
617,9
618,1
619,16
620,8
621,10
622,12
623,1
624,1
625,2
626,16
627,3
628,10
629,10
630,18
631,20
632,10
633,14
634,18
635,12
636,11
637,5
638,7
639,8
640,10
641,1
642,3
643,12
644,1
645,5
646,8
647,4
648,10
649,16
650,10
651,1
652,13
653,10
654,16
655,1
656,1
657,12
658,10
659,1
660,1
661,8
662,13
663,12
664,1
665,13
666,8
667,5
668,10
669,10
670,13
671,8
672,14
673,8
674,9
675,17
676,14
677,17
678,13
679,3
680,6
681,16
