family,distribution,estimator,k,n_theory,n,median_tvd,q25_tvd,q75_tvd
discrete,binomial,pmf,21,8920,446,0.060370411038933244,0.04990957243025567,0.07010636842838852
discrete,binomial,pmf,21,8920,892,0.04204296317335748,0.03565357404974007,0.05066925741631886
discrete,binomial,pmf,21,8920,2230,0.026418239011892726,0.022004471552211653,0.031645726088451176
discrete,binomial,pmf,21,8920,4460,0.018300704784992017,0.015565424863533213,0.021887550653363574
discrete,binomial,pmf,21,8920,8920,0.01318126644254262,0.01066596689780199,0.01500631127122272
discrete,binomial,pmf,21,8920,17840,0.009118591188849886,0.007705737657076591,0.010812530816937945
discrete,binomial,pmf,21,8920,35680,0.006701064430544567,0.005522214778335634,0.007882631840727121
discrete,zipf,pmf,20,8520,426,0.05990108692032861,0.051015641636418384,0.06857246736528097
discrete,zipf,pmf,20,8520,852,0.04354021078474021,0.03627490988633717,0.05115204766274527
discrete,zipf,pmf,20,8520,2130,0.02771878507077602,0.02311107841683635,0.031922733391628565
discrete,zipf,pmf,20,8520,4260,0.01929038189062992,0.01625474829168284,0.021824045610119344
discrete,zipf,pmf,20,8520,8520,0.013560360699266805,0.011556778178454739,0.016345497254183394
discrete,zipf,pmf,20,8520,17040,0.009796654684775221,0.008325132967736258,0.010961923029728956
discrete,zipf,pmf,20,8520,34080,0.006736293527172163,0.005766350601998555,0.007822402247813724
discrete,piecewise,pmf,20,8520,426,0.07713615023474177,0.06861502347417842,0.08694835680751174
discrete,piecewise,pmf,20,8520,852,0.053262910798122065,0.049507042253521115,0.061666666666666654
discrete,piecewise,pmf,20,8520,2130,0.034014084507042255,0.030035211267605638,0.04019953051643192
discrete,piecewise,pmf,20,8520,4260,0.024953051643192482,0.02180751173708921,0.027805164319248815
discrete,piecewise,pmf,20,8520,8520,0.016725352112676048,0.014383802816901407,0.019225352112676057
discrete,piecewise,pmf,20,8520,17040,0.011725352112676064,0.010786384976525823,0.01313086854460095
discrete,piecewise,pmf,20,8520,34080,0.008348004694835688,0.007410504694835673,0.009583333333333326
continuous,normal,pmf,150,60520,500,0.04983927912794546,0.047006445888668584,0.05844705743228164
continuous,normal,pmf,150,60520,1000,0.03598583701236905,0.032494307017059534,0.04155925964011457
continuous,normal,pmf,150,60520,2000,0.026004264280514618,0.022675932015880064,0.031035317321841123
continuous,normal,pmf,150,60520,5000,0.016845551528928533,0.015278468557169134,0.02011658648270397
continuous,normal,pmf,150,60520,10000,0.011983279164518051,0.010021072201826898,0.013671314415487804
continuous,normal,pmf,150,60520,20000,0.008116629391166485,0.006821598727570804,0.009468937972676181
